Service Name,Criteria 1,Criteria 2,Criteria 3,Time Window,Cost Impact,CloudWatch Metrics Required,API Calls Required,Recommendation
Resource Explorer,N/A,N/A,N/A,N/A,N/A,N/A,resource-explorer-2:ListIndexes,Free service - no idle cost concern
Infrastructure Composer,N/A,N/A,N/A,N/A,N/A,N/A,cloudformation:ListStacks,Free design tool - no idle cost concern
Serverless Application Repository,ApplicationsDeployed = 0,No deployments in time window,Applications published = true,Last 90 days,Low,N/A,serverlessrepo:ListApplications,Review and remove unused published applications - Underlying resource costs
Proton,EnvironmentsDeployed = 0,ServiceInstancesActive = 0,Environments exist,Last 30 days,Medium,N/A,proton:ListEnvironments proton:ListServiceInstances,Delete unused environments - Underlying resource costs
Data Transfer Terminal,TransfersInitiated = 0,DataTransferred = 0,Terminal exists,Last 30 days,Low,N/A,dtt:ListJobs (API calls),Review unused terminal - Pay per use only
Supply Chain,Forecasts generated = 0,DataSynced = stale,Instances active = true,Last 30 days,Medium,N/A,scn:ListInstances (API calls),Delete instance if unused - Hourly instance cost
Partner Central,Opportunities active = 0,No active collaborations,Partner account exists,Last 30 days,Low,N/A,partnercentral-selling:ListOpportunities (API calls),Free service for partners - no idle cost concern
Payment Cryptography,KeysActive but no operations,CryptographicOperations = 0,Keys exist,Last 30 days,Medium,N/A,payment-cryptography:ListKeys,Delete unused keys - Pay per key per month
Verified Permissions,AuthorizationRequests = 0,PoliciesActive but not queried,PolicyStoresActive = true,Last 30 days,Low,N/A,verifiedpermissions:ListPolicyStores,Review and delete unused policy stores - Pay per authorization request
User Notifications,N/A,N/A,N/A,N/A,N/A,N/A,notifications:ListNotificationHubs,Free service - no idle cost concern
End User Messaging,MessagesSent = 0,PhoneNumbers active but unused,PhoneNumbersActive > 0,Last 30 days,Medium,N/A,sms-voice:DescribePhoneNumbers (API calls),Release unused phone numbers - Monthly phone number fee
Chime SDK,MediaSessions = 0,Attendees = 0,MessagingAPIRequests = 0,Last 30 days,Low,N/A,chime:ListMeetings chime-sdk-messaging:ListChannels,Review and delete unused Chime SDK resources - Pay per session minute
WorkSpaces Applications,AppInstances = 0,UsersAccessing = 0,Applications deployed = true,Last 30 days,Medium,N/A,workspaces-web:ListPortals appstream:DescribeApplications,Delete unused app instances - Pay per user per hour
WorkSpaces Secure Browser,BrowserSessions = 0,ActiveUsers = 0,PortalsActive = true,Last 14 days,Medium,N/A,workspaces-web:ListPortals workspaces-web:ListUserSettings,Delete portal if unused - Pay per user-hour
WorkSpaces Thin Client,DevicesActive = 0,DevicesRegistered but inactive,SoftwareSetActive = true,Last 14 days,Medium,N/A,thinclient:ListDevices thinclient:ListEnvironments,Review inactive devices - Pay per device per month
Red Hat OpenShift Service on AWS,NodeCPUUtilization < 5%,APIServerRequests = 0,ClustersRunning = true,Last 7 days,High,CPUUtilization MemoryUtilization,rosa:ListClusters,Delete cluster if unused - Very high hourly control plane + node cost
Elastic VMware Service,VMCPUUtilization < 5%,VMsRunning but idle,ClusterState = DEPLOYED,Last 7 days,High,CPUUtilization MemoryUtilization,evs:DescribeVclusters (API calls),Delete cluster if unused - Very high dedicated host cost
Oracle Database@AWS,ConnectionsActive = 0,DatabaseStatus = AVAILABLE but no queries,Databases exist,Last 7 days,High,DatabaseConnections CPUUtilization,odb:ListDbServers (API calls),Delete database instances if unused - High hourly Oracle license + compute cost
Outposts,InstancesRunning = 0 (on Outpost),ConnectivityStatus = connected but no workloads,Outpost exists,Last 14 days,High,CPUUtilization MemoryUtilization (on EC2 instances),outposts:ListOutposts ec2:DescribeInstances,Repatriate workloads - Outpost has fixed monthly capacity cost regardless of use
One Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,license-manager:ListReceivedLicenses,Review enterprise license bundle - Fixed subscription cost
Wickr,ActiveUsers = 0,MessagesSent = 0,NetworksOnline = true,Last 30 days,Medium,N/A,wickr:GetNetwork (API calls),Delete unused networks - Pay per user per month
SimSpace Weaver,SimulationsRunning = 0,No compute consumed,Simulation exists,Last 30 days,High,N/A,simspaceweaver:ListSimulations,Delete unused simulations - Pay per compute hour
Parallel Computing Service,ClustersActive but no jobs,JobsSubmitted = 0,ComputeNodes running,Last 14 days,High,CPUUtilization MemoryUtilization,pcs:ListClusters pcs:ListJobs,Terminate idle clusters - Pay for compute nodes when running
Telco Network Builder,NetworkInstances active but no traffic,NetworkServicesActive = 0,Network instances exist,Last 30 days,Medium,N/A,tnb:ListSolNetworkInstances tnb:ListSolFunctionPackages,Terminate unused network instances - Compute and networking costs
Braket,TasksExecuted = 0,ShotsUsed = 0,Notebooks running,Last 30 days,Medium,N/A,braket:GetQuantumTask braket:SearchQuantumTasks,Delete unused notebooks and tasks - Pay per task and shot
Signer,SigningJobsCompleted = 0,SigningProfilesActive but unused,Profiles exist,Last 30 days,Low,N/A,signer:ListSigningJobs signer:ListSigningProfiles,Revoke unused signing profiles - Pay per signing job
Artifact,N/A,N/A,N/A,N/A,N/A,N/A,artifact:GetReport artifact:ListAgreements,Free service - compliance reports only
Audit Manager,AssessmentsActive = 0,EvidenceCollected = 0,Frameworks configured,Last 30 days,Low,N/A,auditmanager:ListAssessments auditmanager:GetAccountStatus,Delete unused assessments - Pay per assessment and evidence
Billing Conductor,BillingGroupsActive but not generating reports,PricingRulesApplied = 0,Billing groups exist,Last 30 days,Low,N/A,billingconductor:ListBillingGroups billingconductor:ListPricingRules,Review unused billing groups - Pay per linked account per month
B2B Data Interchange,TransactionsProcessed = 0,PartnershipsActive but no activity,Trading partners configured,Last 30 days,Low,N/A,b2bi:ListPartnerships b2bi:ListTransformers,Delete unused partnerships - Pay per GB processed
Auto Scaling,N/A,N/A,N/A,N/A,N/A,N/A,autoscaling:DescribeAutoScalingGroups,Free service - pay for underlying EC2 instances only
SWF,WorkflowExecutionsOpen = 0,ActivityTasksCompleted = 0,Domains exist,Last 30 days,Low,N/A,swf:ListOpenWorkflowExecutions swf:ListDomains,Delete unused workflows - Pay per workflow execution and task
CloudShell,N/A,N/A,N/A,N/A,N/A,N/A,cloudshell:GetEnvironmentStatus (API calls),Free service - no idle cost concern
CloudSearch,SearchRequests = 0,IndexDocuments not updated,SearchDomainState = Active,Last 14 days,Medium,Searching Indexing,cloudsearch:DescribeDomains,Delete domain if unused - Hourly instance cost
CloudHSM,HSMs active but no crypto operations,CryptoOperations = 0,ClustersActive = true,Last 7 days,High,N/A,cloudhsmv2:DescribeClusters cloudhsmv2:DescribeHsms,Delete HSM cluster if unused - Very high hourly dedicated HSM cost
Cloud Map,ServicesRegistered but no queries,DiscoveryQueriesAPI = 0,Instances registered = true,Last 30 days,Low,N/A,servicediscovery:ListServices servicediscovery:ListInstances,Delete unused services and namespaces - Pay per query
Directory Service,DomainControllerStatus = Active but no authentications,UserAuthentications = 0,DirectoriesActive = true,Last 14 days,High,N/A,ds:DescribeDirectories ds:DescribeDomainControllers,Delete directory if unused - High hourly per directory cost
Elastic Transcoder,JobsCompleted = 0,PipelinesActive but no jobs,Pipelines exist,Last 30 days,Low,N/A,elastictranscoder:ListPipelines elastictranscoder:ListJobsByStatus,Delete unused pipelines - Pay per output minute only
Elastic Disaster Recovery,SourceServersReplicating = 0,LagDuration growing (replication stopped),Servers configured,Last 7 days,Medium,LagDuration BackloggedStorageBytes,drs:DescribeSourceServers drs:DescribeJobs,Remove disconnected source servers - Pay per replicated server per hour
Identity Center,N/A,N/A,N/A,N/A,N/A,N/A,sso:ListInstances sso-admin:ListAccountAssignments,Free service - no idle cost concern
Global Accelerator,NewFlowCount = 0,HealthyEndpointCount = 0,Accelerators active = true,Last 7 days,High,NewFlowCount ProcessedBytesOut HealthyEndpointCount,globalaccelerator:ListAccelerators,Delete accelerator if no traffic - Fixed hourly + data transfer cost
Global View,N/A,N/A,N/A,N/A,N/A,N/A,resource-explorer-2:Search,Free service - no idle cost concern
Recycle Bin,N/A,N/A,N/A,N/A,N/A,N/A,rbin:ListRules rbin:ListResourcesByRuleId,Free service - snapshot/AMI retention management only
RTB Fabric,SeatbidRequests = 0,BidResponses = 0,Service configured,Last 14 days,High,N/A,elabd:DescribeInstances (API calls),Review and suspend if no bidding activity - Hourly infrastructure cost
CodeCatalyst,WorkflowRunsCompleted = 0,ProjectsActive but no activity,Projects exist,Last 30 days,Low,N/A,codecatalyst:ListProjects codecatalyst:ListWorkflowRuns,Delete unused projects - Pay per active user and compute minute
Console Home,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Console UI - no idle cost concern
Security Agent,AgentsOnline = 0,FindingsReported = 0,Agents deployed,Last 14 days,Low,N/A,ssm:DescribeInstanceInformation,Deactivate unused agents - Pay per monitored instance
Security Hub CSPM,FindingsActive = 0,StandardsEnabled but no new findings,Security Hub enabled = true,Last 30 days,Low,N/A,securityhub:DescribeHub securityhub:GetFindingAggregator,Review and disable if not using findings - Per finding ingested cost
Security Incident Response,IncidentsActive = 0,CasesOpened = 0,Subscription active,Last 30 days,High,N/A,security-ir:ListCases (API calls),Review subscription if not using active incident response - Subscription cost
Security Lake,DataIngested = 0,LogSources enabled but no data,DataLakeActive = true,Last 14 days,Medium,N/A,securitylake:ListDataLakes securitylake:ListLogSources,Disable unused log sources - Pay per GB ingested and stored
Private Certificate Authority,CAsActive but no certs issued,CertificatesIssued = 0,CAStatus = ACTIVE,Last 30 days,High,N/A,acm-pca:ListCertificateAuthorities acm-pca:ListCertificates,Delete CA if unused - High monthly per-CA cost
S3 Glacier,ArchivesStored but no retrievals,RetrievalJobsCompleted = 0,Vaults exist,Last 90 days,Low,N/A,glacier:ListVaults glacier:ListJobs,Apply expiration policy or delete empty vaults - Very low storage cost but cleanup
MQ,MessageCount = 0,ConnectionCount = 0,BrokersActive = true,Last 7 days,High,MessageCount ConnectionCount CpuUtilization,mq:ListBrokers mq:DescribeBroker,Delete broker if unused - High hourly broker cost
Aurora DSQL,DatabaseConnections = 0,QueriesPerSecond = 0,Clusters active = true,Last 7 days,Medium,DatabaseConnections QueriesPerSecond,dsql:ListClusters (API calls),Delete cluster if unused - Pay per compute unit when active
Activate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AWS startup program - no idle cost concern
App Mesh,TrafficRate = 0 (no requests),VirtualNodesActive but no traffic,Mesh resources exist,Last 14 days,Medium,N/A,appmesh:ListMeshes appmesh:ListVirtualNodes,Delete unused mesh and virtual nodes - Pay per vCPU hour of connected proxies
App Runner,RequestCount = 0,ActiveInstances = 0,ServiceStatus = RUNNING,Last 7 days,High,RequestCount Latency ActiveInstances,apprunner:ListServices apprunner:DescribeService,Pause or delete service if unused - Hourly compute cost even with no requests
App Studio,ActiveUsers = 0,ActionExecutions = 0,Applications deployed = true,Last 30 days,Low,N/A,appstudio:ListApplications (API calls),Delete unused applications - Pay per active user
AppConfig,DeploymentsCompleted = 0,ConfigurationProfilesActive but not deployed,Environments exist,Last 30 days,Low,N/A,appconfig:ListApplications appconfig:ListDeployments,Delete unused configurations - Free service but cleanup
AppFabric,NormalizedEventsProcessed = 0,AppConnections active but no events,Ingestion active = true,Last 14 days,Medium,N/A,appfabric:ListAppBundles appfabric:ListIngestions,Delete unused ingestions - Pay per event processed
AppSync,GraphQLRequestsCount = 0,ConnectedClients = 0,GraphQL APIs exist,Last 14 days,Low,N/A,appsync:ListGraphqlApis appsync:ListApiKeys,Delete unused APIs - Pay per request and real-time updates
Application Discovery Service,AgentsRunning = 0,ServersDiscovered but no updates,Agents deployed,Last 30 days,Low,N/A,discovery:DescribeAgents discovery:DescribeServers,Remove inactive agents - Free discovery tool but cleanup
Application Migration Service,SourceServersReplicating = 0,LagDuration growing,Replication servers running,Last 14 days,Medium,N/A,mgn:DescribeSourceServers mgn:DescribeJobs,Decommission after migration - Pay for launched test/cutover instances
Billing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free billing console - no idle cost concern
CloudWatch Evidently,ExperimentEvaluations = 0,FeaturesActive but not evaluated,Experiments exist,Last 30 days,Low,N/A,evidently:ListExperiments evidently:ListFeatures,Delete unused experiments - Pay per evaluation and event
CloudWatch Logs,IncomingBytes = 0,IncomingLogEvents = 0,LogGroupsActive = true,Last 14 days,Low,IncomingBytes IncomingLogEvents,logs:DescribeLogGroups logs:DescribeLogStreams,Delete unused log groups or set retention policy - Storage cost per GB
CloudWatch Logs Insights,QueriesExecuted = 0,BytesScanned = 0,Log groups exist,Last 30 days,Low,N/A,logs:StartQuery logs:GetQueryResults,No cost when not querying - Delete unused log groups
CloudWatch RUM,EventsReceived = 0,SessionsRecorded = 0,App monitors exist,Last 14 days,Low,N/A,rum:ListAppMonitors rum:GetAppMonitor,Delete unused app monitors - Pay per event recorded
CloudWatch Synthetics,CanaryRunsCompleted = 0,CanaryRunsStopped,Canaries configured = true,Last 14 days,Low,N/A,synthetics:DescribeCanaries synthetics:GetCanaryRuns,Stop or delete unused canaries - Pay per canary run
Cost and Usage Reports,N/A,N/A,N/A,N/A,N/A,N/A,cur:DescribeReportDefinitions,Free CUR reporting - no idle cost concern
DataZone,DataAssetsPublished = 0,ProjectsActive but no queries,Domain active = true,Last 30 days,Medium,N/A,datazone:ListDomains datazone:ListProjects,Delete unused domains - Pay per asset and API calls
Database Migration Service,ReplicationInstancesRunning but no tasks,TasksRunning = 0,Replication instances exist,Last 14 days,High,N/A,dms:DescribeReplicationInstances dms:DescribeReplicationTasks,Delete replication instances after migration - Hourly instance cost
Elemental Appliances & Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-premises hardware - no AWS idle cost concern
Elemental MediaConnect,OutputBandwidth = 0,FlowsActive but no traffic,FlowStatus = ACTIVE,Last 7 days,High,N/A,mediaconnect:ListFlows mediaconnect:DescribeFlow,Delete flows if no video transport - Hourly per flow cost
Elemental MediaConvert,JobsCompleted = 0,No transcoding activity,Queues exist,Last 30 days,Low,N/A,mediaconvert:ListJobs mediaconvert:DescribeEndpoints,Delete unused queues - Pay per output minute only
Elemental MediaLive,InputBitrateActive = 0,ChannelsRunning but no input,ChannelState = RUNNING,Last 7 days,High,ActiveConnections InputVideoFrameRate,medialive:ListChannels medialive:DescribeChannel,Stop or delete idle channels - Very high hourly cost per channel
Elemental MediaPackage,EgressRequestCount = 0,EndpointsServing = 0,Channels exist,Last 14 days,Medium,EgressBytes,mediapackage:ListChannels mediapackage:ListOriginEndpoints,Delete unused channels - Pay per GB egress
Elemental MediaStore,ObjectsStored = 0,GetRequestsCount = 0,Containers exist,Last 30 days,Low,N/A,mediastore:ListContainers mediastore:DescribeContainer,Delete empty containers - Pay per GB stored and per request
Elemental MediaTailor,SessionInitializationRequests = 0,AdInsertions = 0,Configurations exist,Last 30 days,Low,N/A,mediatailor:ListPlaybackConfigurations,Delete unused configurations - Pay per session only
Glue DataBrew,JobRunsCompleted = 0,DatasetsConnected but not used,Projects exist,Last 30 days,Low,N/A,databrew:ListJobs databrew:ListProjects,Delete unused projects - Pay per node-hour only
Health Dashboard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free service - no idle cost concern
IQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marketplace service - no idle cost concern
Interactive Video Service,ConcurrentViewers = 0,IngestBitrateActive = 0,Channels active = true,Last 14 days,Medium,IngestFrameRate LiveDecodedFrames,ivs:ListChannels ivs:GetChannel,Stop or delete idle channels - Hourly channel cost
Kinesis Video Streams,PutMediaRequests = 0,GetMediaRequests = 0,Streams active = true,Last 14 days,Medium,PutLatency GetMediaMillisBehindNow IncomingBytes,kinesisvideo:ListStreams kinesisvideo:DescribeStream,Delete unused streams - Pay per GB ingested and stored
Lake Formation,N/A,N/A,N/A,N/A,N/A,N/A,lakeformation:ListLakeFormationOptins glue:GetTables,Free governance layer - pay for underlying Glue and S3 resources
Launch Wizard,N/A,N/A,N/A,N/A,N/A,N/A,launchwizard:ListDeployments,Free wizard - no idle cost concern
Mainframe Modernization,CPUUtilization < 5%,ApplicationsDeployed but not serving requests,EnvironmentsRunning = true,Last 7 days,High,CPUUtilization MemoryUtilization,m2:ListEnvironments m2:ListApplications,Stop environment if unused - High hourly vCPU cost
Marketplace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Portal - no idle cost concern
Parameter Store,ParametersAccessed = 0,GetParameterAPIRequests = 0,Advanced parameters exist,Last 30 days,Low,N/A,ssm:DescribeParameters ssm:GetParameterHistory,Downgrade advanced parameters to standard or delete if unused - Advanced tier per parameter per month
Personal Health Dashboard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free dashboard - no idle cost concern
Resource Groups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free grouping tool - no idle cost concern
Snow Family,DeviceStatus = RETURNED OR no active jobs,DataTransferredGB = 0,Jobs exist,Last 90 days,High,N/A,snowball:ListJobs snowball:DescribeJob,Return device promptly after use - Pay per device-day
Support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Support plan - fixed monthly fee
Tag Editor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free tagging tool - no idle cost concern
Well-Architected Tool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Free architectural review tool - no idle cost concern
re:Post,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Community forum - no idle cost concern
