Service Name,AWS API/Service to Use,Key Metrics to Collect,Sample API Call/CLI Command,IAM Permissions Required,Monitoring Frequency Recommendation
SageMaker,SageMaker API + CloudWatch,ModelLatency Invocations CPUUtilization MemoryUtilization,aws sagemaker list-training-jobs && aws sagemaker list-transform-jobs,sagemaker:ListTrainingJobs sagemaker:ListTransformJobs cloudwatch:GetMetricStatistics,Every 6 hours
Batch,Batch API + CloudWatch,PendingJobCount RunnableJobCount RunningJobCount SucceededJobCount FailedJobCount,aws batch list-jobs && aws batch describe-job-queues,batch:ListJobs batch:DescribeJobQueues cloudwatch:GetMetricStatistics,Every 6 hours
Managed Apache Airflow,MWAA API + CloudWatch,RunningTasks QueuedTasks SchedulerHeartbeat WorkerTaskPendingTime,aws mwaa list-environments && aws mwaa get-environment --name ENV_NAME,airflow:ListEnvironments airflow:GetEnvironment cloudwatch:GetMetricStatistics,Every 6 hours
Managed Apache Flink,Kinesis Data Analytics API + CloudWatch,cpuUtilization heapMemoryUtilization numRecordsInPerSecond numRecordsOutPerSecond,aws kinesisanalyticsv2 list-applications && aws kinesisanalyticsv2 describe-application --application-name APP_NAME,kinesisanalytics:ListApplications kinesisanalytics:DescribeApplication cloudwatch:GetMetricStatistics,Every 6 hours
Deadline Cloud,Deadline Cloud API + CloudWatch,N/A,aws deadline list-farms && aws deadline list-queues --farm-id FARM_ID,deadline:ListFarms deadline:ListQueues cloudwatch:GetMetricStatistics,Every 6 hours
IoT Device Management,IoT API + CloudWatch,N/A,aws iot list-thing-groups && aws iot describe-thing-group --thing-group-name GROUP_NAME,iot:ListThingGroups iot:DescribeThingGroup cloudwatch:GetMetricStatistics,Every 24 hours
IoT Device Defender,IoT Defender API + CloudWatch,N/A,aws iot list-security-profiles && aws iot list-audit-tasks,iot:ListSecurityProfiles iot:ListAuditTasks cloudwatch:GetMetricStatistics,Every 24 hours
IoT Events,IoT Events API + CloudWatch,N/A,aws iotevents list-detector-models && aws iotevents list-inputs,iotevents:ListDetectorModels iotevents:ListInputs cloudwatch:GetMetricStatistics,Every 24 hours
IoT FleetWise,IoT FleetWise API + CloudWatch,N/A,aws iotfleetwise list-vehicles && aws iotfleetwise list-fleets,iotfleetwise:ListVehicles iotfleetwise:ListFleets cloudwatch:GetMetricStatistics,Every 24 hours
IoT TwinMaker,IoT TwinMaker API + CloudWatch,N/A,aws iottwinmaker list-workspaces && aws iottwinmaker list-entities --workspace-id WORKSPACE_ID,iottwinmaker:ListWorkspaces iottwinmaker:ListEntities cloudwatch:GetMetricStatistics,Every 24 hours
Monitron,Monitron API + CloudWatch,N/A,aws monitron list-projects && aws monitron list-sensors --project-name PROJECT_NAME,monitron:ListProjects cloudwatch:GetMetricStatistics,Every 24 hours
Panorama,Panorama API + CloudWatch,N/A,aws panorama list-devices && aws panorama list-applications,panorama:ListDevices panorama:ListApplications cloudwatch:GetMetricStatistics,Every 24 hours
Comprehend Medical,Comprehend Medical API + CloudWatch,N/A,aws comprehendmedical list-phi-detection-jobs && aws comprehendmedical list-entities-detection-v2-jobs,comprehendmedical:ListPHIDetectionJobs comprehendmedical:ListEntitiesDetectionV2Jobs cloudwatch:GetMetricStatistics,Every 24 hours
Augmented AI,SageMaker A2I API + CloudWatch,N/A,aws sagemaker list-human-loops --flow-definition-arn FLOW_ARN && aws sagemaker list-flow-definitions,sagemaker:ListHumanLoops sagemaker:ListFlowDefinitions cloudwatch:GetMetricStatistics,Every 24 hours
Bedrock AgentCore,Bedrock API + CloudWatch,N/A,aws bedrock-agent list-agents && aws bedrock-agent list-knowledge-bases,bedrock:ListAgents bedrock:ListKnowledgeBases cloudwatch:GetMetricStatistics,Every 12 hours
Q Business,Q Business API + CloudWatch,N/A,aws qbusiness list-applications && aws qbusiness get-application --application-id APP_ID,qbusiness:ListApplications qbusiness:GetApplication cloudwatch:GetMetricStatistics,Every 24 hours
Q Developer,Q Developer API,N/A,N/A,N/A,N/A
Nova Act,N/A,N/A,N/A,N/A,N/A
Amazon Q,Q Business API + CloudWatch,N/A,aws qbusiness list-applications,qbusiness:ListApplications cloudwatch:GetMetricStatistics,Every 24 hours
DevOps Agent,N/A,N/A,N/A,N/A,N/A
Service Quotas,Service Quotas API + CloudWatch,N/A,aws service-quotas list-services && aws service-quotas list-service-quotas --service-code SERVICE_CODE,servicequotas:ListServices servicequotas:ListServiceQuotas cloudwatch:GetMetricStatistics,Monthly
Resource Access Manager,RAM API + CloudWatch,N/A,aws ram list-resources --resource-owner SELF && aws ram list-principals --resource-owner SELF,ram:ListResources ram:ListPrincipals cloudwatch:GetMetricStatistics,Monthly
Resource Explorer,Resource Explorer API,N/A,aws resource-explorer-2 list-views && aws resource-explorer-2 list-indexes,resource-explorer-2:ListViews resource-explorer-2:ListIndexes,Weekly
Infrastructure Composer,CloudFormation API,N/A,N/A,cloudformation:ListStacks cloudformation:DescribeStacks,N/A
Serverless Application Repository,Serverless Application Repository API,N/A,aws serverlessrepo list-applications && aws serverlessrepo get-application --application-id APP_ID,serverlessrepo:ListApplications serverlessrepo:GetApplication,Monthly
Proton,Proton API + CloudWatch,N/A,aws proton list-environments && aws proton list-services,proton:ListEnvironments proton:ListServices cloudwatch:GetMetricStatistics,Every 24 hours
Data Transfer Terminal,N/A,N/A,N/A,N/A,N/A
Supply Chain,Supply Chain API + CloudWatch,N/A,aws scn list-instances && aws scn describe-instance --instance-id INSTANCE_ID,scn:ListInstances scn:DescribeInstance cloudwatch:GetMetricStatistics,Every 24 hours
Partner Central,N/A,N/A,N/A,N/A,N/A
Payment Cryptography,Payment Cryptography API + CloudWatch,N/A,aws payment-cryptography list-keys && aws payment-cryptography get-key --key-identifier KEY_ID,payment-cryptography:ListKeys payment-cryptography:GetKey cloudwatch:GetMetricStatistics,Every 24 hours
Verified Permissions,Verified Permissions API + CloudWatch,N/A,aws verifiedpermissions list-policy-stores && aws verifiedpermissions list-policies --policy-store-id STORE_ID,verifiedpermissions:ListPolicyStores verifiedpermissions:ListPolicies cloudwatch:GetMetricStatistics,Monthly
User Notifications,User Notifications API + CloudWatch,N/A,aws notifications list-notification-hubs && aws notifications list-channels,notifications:ListNotificationHubs notifications:ListChannels cloudwatch:GetMetricStatistics,Monthly
End User Messaging,End User Messaging API + CloudWatch,N/A,aws sms-voice describe-configuration-sets && aws pinpoint-sms-voice-v2 describe-phone-numbers,sms-voice:DescribeConfigurationSets cloudwatch:GetMetricStatistics,Every 24 hours
Chime SDK,Chime SDK API + CloudWatch,N/A,aws chime-sdk-meetings list-meetings && aws chime-sdk-messaging list-channels --app-instance-arn ARN,chime:ListMeetings chime:ListChannels cloudwatch:GetMetricStatistics,Every 12 hours
WorkSpaces Applications,AppStream API + CloudWatch,N/A,aws appstream describe-app-block-builders && aws appstream describe-applications,appstream:DescribeApplications cloudwatch:GetMetricStatistics,Every 24 hours
WorkSpaces Secure Browser,WorkSpaces Web API + CloudWatch,N/A,aws workspaces-web list-portals && aws workspaces-web get-portal --portal-arn PORTAL_ARN,workspaces-web:ListPortals workspaces-web:GetPortal cloudwatch:GetMetricStatistics,Every 24 hours
WorkSpaces Thin Client,WorkSpaces Thin Client API + CloudWatch,N/A,aws workspaces-thin-client list-environments && aws workspaces-thin-client list-devices,thinclient:ListEnvironments thinclient:ListDevices cloudwatch:GetMetricStatistics,Every 24 hours
Red Hat OpenShift Service on AWS,ROSA API + CloudWatch,N/A,aws rosa list-clusters && aws rosa describe-cluster --cluster CLUSTER_NAME,rosa:ListClusters cloudwatch:GetMetricStatistics,Every 6 hours
Elastic VMware Service,EVS API + CloudWatch,N/A,aws evs list-environments && aws evs get-environment --environment-id ENV_ID,evs:ListEnvironments evs:GetEnvironment cloudwatch:GetMetricStatistics,Every 6 hours
Oracle Database@AWS,RDS API + CloudWatch,CPUUtilization DatabaseConnections ReadIOPS WriteIOPS,aws odb list-db-servers && aws odb list-cloud-vm-clusters,odb:ListDbServers odb:ListCloudVmClusters cloudwatch:GetMetricStatistics,Every 6 hours
Outposts,Outposts API + CloudWatch,N/A,aws outposts list-outposts && aws outposts get-outpost --outpost-id OUTPOST_ID,outposts:ListOutposts outposts:GetOutpost cloudwatch:GetMetricStatistics,Every 24 hours
One Enterprise,N/A,N/A,N/A,N/A,N/A
Wickr,Wickr API + CloudWatch,N/A,aws wickr list-networks && aws wickr get-network --network-id NETWORK_ID,wickr:ListNetworks wickr:GetNetwork cloudwatch:GetMetricStatistics,Monthly
SimSpace Weaver,SimSpace Weaver API + CloudWatch,N/A,aws simspaceweaver list-simulations && aws simspaceweaver describe-simulation --simulation SIMULATION_NAME,simspaceweaver:ListSimulations simspaceweaver:DescribeSimulation cloudwatch:GetMetricStatistics,Every 6 hours
Parallel Computing Service,Parallel Computing Service API + CloudWatch,N/A,aws pcs list-clusters && aws pcs get-cluster --cluster-identifier CLUSTER_ID,pcs:ListClusters pcs:GetCluster cloudwatch:GetMetricStatistics,Every 6 hours
Telco Network Builder,Telco Network Builder API + CloudWatch,N/A,aws tnb list-sol-network-instances && aws tnb list-sol-function-instances,tnb:ListSolNetworkInstances tnb:ListSolFunctionInstances cloudwatch:GetMetricStatistics,Every 24 hours
Braket,Braket API + CloudWatch,N/A,aws braket search-quantum-tasks && aws braket get-device --deviceArn DEVICE_ARN,braket:SearchQuantumTasks braket:GetDevice cloudwatch:GetMetricStatistics,Every 24 hours
Signer,Signer API + CloudWatch,N/A,aws signer list-signing-jobs && aws signer list-signing-platforms,signer:ListSigningJobs signer:ListSigningPlatforms cloudwatch:GetMetricStatistics,Monthly
Artifact,Artifact API,N/A,N/A,artifact:GetReport artifact:ListReports,N/A
Audit Manager,Audit Manager API + CloudWatch,N/A,aws auditmanager list-assessments && aws auditmanager list-controls,auditmanager:ListAssessments auditmanager:ListControls cloudwatch:GetMetricStatistics,Monthly
Billing Conductor,Billing Conductor API,N/A,aws billingconductor list-billing-groups && aws billingconductor list-pricing-plans,billingconductor:ListBillingGroups billingconductor:ListPricingPlans,Monthly
B2B Data Interchange,B2B Data Interchange API + CloudWatch,N/A,aws b2bi list-partnerships && aws b2bi list-profiles,b2bi:ListPartnerships b2bi:ListProfiles cloudwatch:GetMetricStatistics,Every 24 hours
Auto Scaling,Auto Scaling API + CloudWatch,GroupMinSize GroupMaxSize GroupDesiredCapacity GroupInServiceInstances GroupPendingInstances GroupTerminatingInstances,aws autoscaling describe-auto-scaling-groups && aws autoscaling describe-auto-scaling-instances,autoscaling:DescribeAutoScalingGroups autoscaling:DescribeAutoScalingInstances cloudwatch:GetMetricStatistics,Every 6 hours
SWF,SWF API + CloudWatch,DecisionTaskScheduleToStartTime ActivityTaskScheduleToStartTime WorkflowStartToCloseTime,aws swf list-domains --registration-status REGISTERED && aws swf list-workflow-types --domain DOMAIN_NAME --registration-status REGISTERED,swf:ListDomains swf:ListWorkflowTypes cloudwatch:GetMetricStatistics,Every 12 hours
CloudShell,N/A,N/A,N/A,N/A,N/A
CloudSearch,CloudSearch API + CloudWatch,SuccessfulRequests SearchableDocuments IndexUtilization,aws cloudsearch list-domain-names && aws cloudsearch describe-domains,cloudsearch:ListDomainNames cloudsearch:DescribeDomains cloudwatch:GetMetricStatistics,Every 24 hours
CloudHSM,CloudHSM API + CloudWatch,HsmUnhealthy BackupExpiration,aws cloudhsmv2 describe-clusters && aws cloudhsmv2 describe-backups,cloudhsm:DescribeClusters cloudhsm:DescribeBackups cloudwatch:GetMetricStatistics,Every 6 hours
Cloud Map,Cloud Map API + CloudWatch,N/A,aws servicediscovery list-namespaces && aws servicediscovery list-services,servicediscovery:ListNamespaces servicediscovery:ListServices cloudwatch:GetMetricStatistics,Every 24 hours
Directory Service,Directory Service API + CloudWatch,N/A,aws ds describe-directories && aws ds describe-domain-controllers --directory-id DIRECTORY_ID,ds:DescribeDirectories ds:DescribeDomainControllers cloudwatch:GetMetricStatistics,Every 6 hours
Elastic Transcoder,Elastic Transcoder API + CloudWatch,N/A,aws elastictranscoder list-pipelines && aws elastictranscoder list-jobs-by-status --status Submitted,elastictranscoder:ListPipelines elastictranscoder:ListJobsByStatus cloudwatch:GetMetricStatistics,Every 24 hours
Elastic Disaster Recovery,Elastic Disaster Recovery API + CloudWatch,N/A,aws drs describe-source-servers && aws drs describe-jobs,drs:DescribeSourceServers drs:DescribeJobs cloudwatch:GetMetricStatistics,Every 6 hours
Identity Center,Identity Center API + CloudWatch,N/A,aws sso-admin list-instances && aws sso-admin list-accounts-for-provisioned-permission-set --instance-arn INSTANCE_ARN --permission-set-arn PERMISSION_SET_ARN,sso:ListInstances sso-admin:ListAccountsForProvisionedPermissionSet cloudwatch:GetMetricStatistics,Monthly
Global Accelerator,Global Accelerator API + CloudWatch,NewFlowCount ProcessedBytesIn ProcessedBytesOut,aws globalaccelerator list-accelerators && aws globalaccelerator describe-accelerator --accelerator-arn ACCELERATOR_ARN,globalaccelerator:ListAccelerators globalaccelerator:DescribeAccelerator cloudwatch:GetMetricStatistics,Every 6 hours
Global View,N/A,N/A,N/A,N/A,N/A
Recycle Bin,EC2 API + CloudWatch,N/A,aws rbin list-rules && aws rbin get-rule --identifier RULE_ID,rbin:ListRules rbin:GetRule cloudwatch:GetMetricStatistics,Weekly
RTB Fabric,N/A,N/A,N/A,N/A,N/A
CodeCatalyst,CodeCatalyst API + CloudWatch,N/A,aws codecatalyst list-spaces && aws codecatalyst list-projects --space-name SPACE_NAME,codecatalyst:ListSpaces codecatalyst:ListProjects cloudwatch:GetMetricStatistics,Monthly
Console Home,N/A,N/A,N/A,N/A,N/A
Security Agent,N/A,N/A,N/A,N/A,N/A
Security Hub CSPM,Security Hub API + CloudWatch,N/A,"aws securityhub list-findings --filters ProductName=[{Value=Security Hub,Comparison=EQUALS}]",securityhub:ListFindings securityhub:GetFindings cloudwatch:GetMetricStatistics,Weekly
Security Incident Response,Security Hub API + SSM Incidents API,N/A,aws ssm-incidents list-incidents && aws securityhub list-findings,ssm-incidents:ListIncidents securityhub:ListFindings,Weekly
Security Lake,Security Lake API + CloudWatch,N/A,aws securitylake list-data-lakes && aws securitylake list-log-sources,securitylake:ListDataLakes securitylake:ListLogSources cloudwatch:GetMetricStatistics,Weekly
Private Certificate Authority,ACM PCA API + CloudWatch,N/A,aws acm-pca list-certificate-authorities && aws acm-pca describe-certificate-authority --certificate-authority-arn CA_ARN,acm-pca:ListCertificateAuthorities acm-pca:DescribeCertificateAuthority cloudwatch:GetMetricStatistics,Monthly
S3 Glacier,Glacier API + CloudWatch,N/A,aws glacier list-vaults --account-id ACCOUNT_ID && aws glacier describe-vault --account-id ACCOUNT_ID --vault-name VAULT_NAME,glacier:ListVaults glacier:DescribeVault cloudwatch:GetMetricStatistics,Every 24 hours
MQ,MQ API + CloudWatch,CpuUtilization HeapUsage NetworkIn NetworkOut,aws mq list-brokers && aws mq describe-broker --broker-id BROKER_ID,mq:ListBrokers mq:DescribeBroker cloudwatch:GetMetricStatistics,Every 6 hours
Aurora DSQL,RDS API + CloudWatch,CPUUtilization DatabaseConnections ReadIOPS WriteIOPS,aws dsql list-clusters && aws dsql get-cluster --identifier CLUSTER_ID,dsql:ListClusters dsql:GetCluster cloudwatch:GetMetricStatistics,Every 6 hours
Activate,N/A,N/A,N/A,N/A,N/A
App Mesh,App Mesh API + CloudWatch,N/A,aws appmesh list-meshes && aws appmesh list-virtual-services --mesh-name MESH_NAME,appmesh:ListMeshes appmesh:ListVirtualServices cloudwatch:GetMetricStatistics,Every 12 hours
App Runner,App Runner API + CloudWatch,CPUUtilization MemoryUtilization ActiveInstances RequestCount Latency,aws apprunner list-services && aws apprunner describe-service --service-arn SERVICE_ARN,apprunner:ListServices apprunner:DescribeService cloudwatch:GetMetricStatistics,Every 12 hours
App Studio,N/A,N/A,N/A,N/A,N/A
AppConfig,AppConfig API + CloudWatch,N/A,aws appconfig list-applications && aws appconfig list-environments --application-id APP_ID,appconfig:ListApplications appconfig:ListEnvironments cloudwatch:GetMetricStatistics,Every 24 hours
AppFabric,AppFabric API + CloudWatch,N/A,aws appfabric list-app-bundles && aws appfabric list-ingestions --app-bundle-identifier BUNDLE_ID,appfabric:ListAppBundles appfabric:ListIngestions cloudwatch:GetMetricStatistics,Every 24 hours
AppSync,AppSync API + CloudWatch,4XXError 5XXError Latency Requests,aws appsync list-graphql-apis && aws appsync get-graphql-api --api-id API_ID,appsync:ListGraphqlApis appsync:GetGraphqlApi cloudwatch:GetMetricStatistics,Every 12 hours
Application Discovery Service,Application Discovery Service API + CloudWatch,N/A,aws discovery list-servers && aws discovery describe-agents,discovery:ListServers discovery:DescribeAgents cloudwatch:GetMetricStatistics,Every 24 hours
Application Migration Service,MGN API + CloudWatch,N/A,aws mgn describe-source-servers && aws mgn describe-launch-configuration-templates,mgn:DescribeSourceServers mgn:DescribeLaunchConfigurationTemplates cloudwatch:GetMetricStatistics,Every 24 hours
Billing,N/A,N/A,N/A,N/A,N/A
CloudWatch Evidently,CloudWatch Evidently API + CloudWatch,N/A,aws evidently list-projects && aws evidently list-experiments --project PROJECT_NAME,evidently:ListProjects evidently:ListExperiments cloudwatch:GetMetricStatistics,Every 12 hours
CloudWatch Logs,CloudWatch Logs API + CloudWatch,IncomingLogEvents IncomingBytes ForwardedLogEvents ForwardedBytes,aws logs describe-log-groups && aws logs describe-log-streams --log-group-name LOG_GROUP_NAME,logs:DescribeLogGroups logs:DescribeLogStreams logs:GetLogEvents cloudwatch:GetMetricStatistics,Every 12 hours
CloudWatch Logs Insights,CloudWatch Logs API + CloudWatch,N/A,aws logs start-query --log-group-name LOG_GROUP_NAME --start-time START_TIME --end-time END_TIME --query-string QUERY,logs:StartQuery logs:GetQueryResults logs:StopQuery cloudwatch:GetMetricStatistics,Every 24 hours
CloudWatch RUM,CloudWatch RUM API + CloudWatch,N/A,aws rum list-app-monitors && aws rum get-app-monitor --name APP_MONITOR_NAME,rum:ListAppMonitors rum:GetAppMonitor cloudwatch:GetMetricStatistics,Every 12 hours
CloudWatch Synthetics,CloudWatch Synthetics API + CloudWatch,Duration SuccessPercent,aws synthetics describe-canaries && aws synthetics get-canary --name CANARY_NAME,synthetics:DescribeCanaries synthetics:GetCanary cloudwatch:GetMetricStatistics,Every 12 hours
Cost and Usage Reports,Cost and Usage Reports API,N/A,aws cur describe-report-definitions,cur:DescribeReportDefinitions,Monthly
DataZone,DataZone API + CloudWatch,N/A,aws datazone list-domains && aws datazone list-projects --domain-identifier DOMAIN_ID,datazone:ListDomains datazone:ListProjects cloudwatch:GetMetricStatistics,Every 24 hours
Database Migration Service,DMS API + CloudWatch,CDCIncomingChanges CDCChangesNotApplied FullLoadRowsInserted,aws dms describe-replication-instances && aws dms describe-replication-tasks,dms:DescribeReplicationInstances dms:DescribeReplicationTasks cloudwatch:GetMetricStatistics,Every 6 hours
Elemental Appliances & Software,N/A,N/A,N/A,N/A,N/A
Elemental MediaConnect,MediaConnect API + CloudWatch,ConnectedOutputs SourceBitRate TotalOutputBitRate,aws mediaconnect list-flows && aws mediaconnect describe-flow --flow-arn FLOW_ARN,mediaconnect:ListFlows mediaconnect:DescribeFlow cloudwatch:GetMetricStatistics,Every 6 hours
Elemental MediaConvert,MediaConvert API + CloudWatch,JobsCompletedCount JobsErroredCount HDOutputDuration SDOutputDuration,aws mediaconvert list-jobs && aws mediaconvert list-queues,mediaconvert:ListJobs mediaconvert:ListQueues cloudwatch:GetMetricStatistics,Every 12 hours
Elemental MediaLive,MediaLive API + CloudWatch,ActiveAlerts ActiveOutputs NetworkIn NetworkOut,aws medialive list-channels && aws medialive describe-channel --channel-id CHANNEL_ID,medialive:ListChannels medialive:DescribeChannel cloudwatch:GetMetricStatistics,Every 6 hours
Elemental MediaPackage,MediaPackage API + CloudWatch,IngressBytes EgressBytes IngressResponseTime,aws mediapackage list-channels && aws mediapackage describe-channel --id CHANNEL_ID,mediapackage:ListChannels mediapackage:DescribeChannel cloudwatch:GetMetricStatistics,Every 6 hours
Elemental MediaStore,MediaStore API + CloudWatch,RequestCount IncomingBytes OutgoingBytes 4xxErrorCount 5xxErrorCount,aws mediastore list-containers && aws mediastore describe-container --container-name CONTAINER_NAME,mediastore:ListContainers mediastore:DescribeContainer cloudwatch:GetMetricStatistics,Every 12 hours
Elemental MediaTailor,MediaTailor API + CloudWatch,AdDecisionServerErrors AdsInterpolated OriginErrors,aws mediatailor list-playback-configurations && aws mediatailor get-playback-configuration --name CONFIG_NAME,mediatailor:ListPlaybackConfigurations mediatailor:GetPlaybackConfiguration cloudwatch:GetMetricStatistics,Every 12 hours
Glue DataBrew,Glue DataBrew API + CloudWatch,N/A,aws databrew list-projects && aws databrew list-jobs,databrew:ListProjects databrew:ListJobs cloudwatch:GetMetricStatistics,Every 24 hours
Health Dashboard,N/A,N/A,N/A,N/A,N/A
IQ,N/A,N/A,N/A,N/A,N/A
Interactive Video Service,IVS API + CloudWatch,ConcurrentViews LiveDeliveredTime RecordedTime,aws ivs list-channels && aws ivs get-channel --arn CHANNEL_ARN,ivs:ListChannels ivs:GetChannel cloudwatch:GetMetricStatistics,Every 6 hours
Kinesis Video Streams,Kinesis Video Streams API + CloudWatch,PutMedia.Success GetMedia.Success,aws kinesisvideo list-streams && aws kinesisvideo describe-stream --stream-name STREAM_NAME,kinesisvideo:ListStreams kinesisvideo:DescribeStream cloudwatch:GetMetricStatistics,Every 6 hours
Lake Formation,Lake Formation API + CloudWatch,N/A,aws lakeformation list-resources && aws lakeformation get-data-lake-settings,lakeformation:ListResources lakeformation:GetDataLakeSettings cloudwatch:GetMetricStatistics,Monthly
Launch Wizard,Launch Wizard API + CloudWatch,N/A,aws launchwizard list-deployments && aws launchwizard get-deployment --deployment-id DEPLOYMENT_ID,launchwizard:ListDeployments launchwizard:GetDeployment cloudwatch:GetMetricStatistics,Every 24 hours
Mainframe Modernization,Mainframe Modernization API + CloudWatch,N/A,aws m2 list-environments && aws m2 list-applications,m2:ListEnvironments m2:ListApplications cloudwatch:GetMetricStatistics,Every 6 hours
Marketplace,N/A,N/A,N/A,N/A,N/A
Parameter Store,SSM API + CloudWatch,N/A,aws ssm describe-parameters && aws ssm get-parameters-by-path --path /,ssm:DescribeParameters ssm:GetParametersByPath cloudwatch:GetMetricStatistics,Weekly
Personal Health Dashboard,N/A,N/A,N/A,N/A,N/A
Resource Groups,N/A,N/A,N/A,N/A,N/A
Snow Family,Snow Family API + CloudWatch,N/A,aws snowball list-jobs && aws snowball describe-job --job-id JOB_ID,snowball:ListJobs snowball:DescribeJob cloudwatch:GetMetricStatistics,Every 24 hours
Support,N/A,N/A,N/A,N/A,N/A
Tag Editor,N/A,N/A,N/A,N/A,N/A
Well-Architected Tool,N/A,N/A,N/A,N/A,N/A
re:Post,N/A,N/A,N/A,N/A,N/A
