"Service Name","Criteria 1","Criteria 2","Criteria 3","Time Window","Optimization Recommendation","Potential Cost Savings","CloudWatch Metrics Required","API Calls Required"
"Batch","CPUUtilization < 40% on compute environment","vCPUSeconds low relative to provisioned","NumberOfJobsRunning > 0","Last 14 days","Reduce maxvCpus in compute environment; use Spot instances for fault-tolerant jobs","40-60%","CPUUtilization MemoryUtilization","batch:DescribeComputeEnvironments batch:ListJobs"
"Managed Apache Airflow","SchedulerCPUUsage < 30%","WorkerCount > 1 with low DAG run frequency","TaskSuccess > 0","Last 14 days","Reduce worker count or downgrade environment class (mw1.small vs mw1.medium)","30-50%","SchedulerCPUUsage WorkerCount QueuedTasks","airflow:ListEnvironments airflow:GetEnvironment"
"Managed Apache Flink","CPUUtilization < 30%","KPUs provisioned > actual parallelism needs","FullRestarts = 0","Last 14 days","Reduce KPU count or parallelism setting to match throughput requirements","30-50%","CPUUtilization HeapMemoryUtilization KPUsBilled","kinesisanalytics:ListApplications kinesisanalyticsv2:DescribeApplication"
"Deadline Cloud","FleetCapacity > active render jobs","WorkerCount > minimum needed","WorkerCount > 0","Last 14 days","Enable auto-scaling for render fleets; use Spot capacity for burst rendering","30-60%","N/A","deadline:ListFarms deadline:ListFleets"
"IoT Device Management","FleetIndexingServiceEnabled with few queries","ThingGroupCount > active use","ThingCount > 0","Last 30 days","Disable fleet indexing if query frequency is low; reduce thing group complexity","10-30%","N/A","iot:DescribeIndex iot:ListThingGroups"
"IoT Device Defender","AuditFrequency = DAILY with stable fleet","ViolationCount = 0","AuditTaskStatus = COMPLETED","Last 30 days","Switch from daily to weekly audits if violation count is consistently zero","10-20%","N/A","iot:DescribeAccountAuditConfiguration iot:ListAuditTasks"
"IoT Events","DetectorModelCount > active use","InputMessageCount < 100/day","InputMessageCount > 0","Last 30 days","Remove unused detector models; consolidate input routing","20-40%","N/A","iotevents:ListDetectorModels iotevents:ListInputs"
"IoT FleetWise","VehicleCount > active vehicles","SignalCatalogCount > 1","DataCollectionRate > 0","Last 30 days","Reduce signal collection frequency; remove unused campaigns","20-40%","N/A","iotfleetwise:ListVehicles iotfleetwise:ListCampaigns"
"IoT TwinMaker","WorkspaceCount > 1","SceneCount low relative to provisioned","WorkspaceStatus = ACTIVE","Last 30 days","Consolidate workspaces; remove unused entity components","20-40%","N/A","iottwinmaker:ListWorkspaces iottwinmaker:ListEntities"
"Monitron","ProjectCount > active projects","SensorCount > active sensors","SensorStatus = RUNNING","Last 30 days","Remove unused sensors; consolidate projects to reduce per-sensor costs","20-40%","N/A","monitron:ListProjects"
"Panorama","DeviceCount > active deployments","ModelPackageCount > active use","DeviceStatus = ONLINE","Last 30 days","Remove unused model packages; consolidate device deployments","20-40%","N/A","panorama:ListDevices panorama:ListApplicationInstances"
"Comprehend Medical","MedicalEntitiesExtracted < 100/day","InferICD10CMJobsCompleted < 5/day","MedicalEntitiesExtracted > 0","Last 30 days","Batch medical NLP jobs instead of real-time; cache results for repeated documents","20-40%","N/A","comprehendmedical:ListICD10CMInferenceJobs"
"Augmented AI","HumanLoopCount < 10/day","WorkforceType = PRIVATE with low task count","HumanLoopStatus = Completed","Last 30 days","Reduce confidence threshold to decrease human review rate; use public workforce for lower cost","30-50%","N/A","sagemaker-a2i-runtime:ListHumanLoops"
"Bedrock AgentCore","AgentInvocations < 50/day","MemoryStorageUsed < 20% of allocated","AgentInvocations > 0","Last 30 days","Remove unused agent aliases; reduce session TTL to free memory storage","20-40%","N/A","bedrock-agent:ListAgents bedrock-agent:GetAgent"
"Q Business","ApplicationStatus = ACTIVE with low queries","IndexedDocumentCount > active query needs","QueryCount > 0","Last 30 days","Reduce index capacity units; remove unused data source connectors","30-50%","N/A","qbusiness:ListApplications qbusiness:GetApplication"
"Q Developer","N/A","N/A","N/A","N/A","Review active Pro tier seats; remove unused developer licenses to reduce per-seat costs","20-40%","N/A","codewhisperer:ListProfiles"
"Nova Act","N/A","N/A","N/A","N/A","Pay-per-use API service; no ongoing underutilization - review API call volume for cost optimization","N/A","N/A","N/A"
"Amazon Q","N/A","N/A","N/A","N/A","Review Q Business and Q Developer seat counts; remove inactive user subscriptions","20-40%","N/A","N/A"
"DevOps Agent","N/A","N/A","N/A","N/A","Preview/new service - review active agent task runs and optimize workflow frequency","N/A","N/A","N/A"
"Service Quotas","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"Resource Access Manager","N/A","N/A","N/A","N/A","Free service - review shared resources to ensure RAM shares are actively used","N/A","N/A","ram:ListResources ram:ListResourceShares"
"Resource Explorer","N/A","N/A","N/A","N/A","Free service - use to identify underutilized resources across regions","N/A","N/A","resource-explorer-2:ListViews"
"Infrastructure Composer","N/A","N/A","N/A","N/A","Free console tool - no billable resources","N/A","N/A","N/A"
"Serverless Application Repository","N/A","N/A","N/A","N/A","Free service - costs come from deployed serverless applications; optimize underlying Lambda/API GW","N/A","N/A","serverlessrepo:ListApplications"
"Proton","N/A","N/A","N/A","N/A","Free service - costs come from provisioned infrastructure; review deployed service instances","N/A","N/A","proton:ListServices proton:ListServiceInstances"
"Data Transfer Terminal","N/A","N/A","N/A","N/A","Review data transfer volumes and routes; consolidate transfer paths to reduce per-GB costs","10-30%","N/A","N/A"
"Supply Chain","InstanceCount > minimum","DataIngestionRate < 10% of capacity","DataIngestionRate > 0","Last 30 days","Downgrade instance type or reduce data pipeline frequency","30-50%","N/A","scn:ListInstances"
"Partner Central","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"Payment Cryptography","KeyCount > active use","CryptographicOperations < 100/day","CryptographicOperations > 0","Last 30 days","Delete unused cryptographic keys; consolidate key usage","30-50%","N/A","payment-cryptography:ListKeys"
"Verified Permissions","PolicyStoreCount > 1","AuthorizationRequests < 100/day","AuthorizationRequests > 0","Last 30 days","Consolidate policy stores; remove redundant policies","10-20%","N/A","verifiedpermissions:ListPolicyStores"
"User Notifications","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"End User Messaging","MessagesSent < 100/day","PhoneNumberCount > active campaigns","MessagesSent > 0","Last 30 days","Release unused phone numbers; consolidate messaging origination pools","20-40%","N/A","sms-voice:ListPhoneNumbers"
"Chime SDK","N/A","N/A","N/A","N/A","Pay-per-use for meetings and messaging; review active SDK application count and usage","10-20%","N/A","chime:ListVoiceConnectors chime:ListSipMediaApplications"
"WorkSpaces Applications","N/A","N/A","N/A","N/A","Review active application bundle count; remove unused application assignments","10-20%","N/A","workspaces-web:ListPortals"
"WorkSpaces Secure Browser","ActivePortals > minimum use","UserSessionCount < 10/day","UserSessionCount > 0","Last 14 days","Reduce portal count; switch to lower-capacity instance type","20-40%","N/A","workspaces-web:ListPortals workspaces-web:GetPortal"
"WorkSpaces Thin Client","DeviceCount > active users","SoftwareSetCount > 2","DeviceStatus = REGISTERED","Last 30 days","Remove unused device registrations; consolidate software sets","20-40%","N/A","thinclient:ListEnvironments thinclient:ListDevices"
"Red Hat OpenShift Service on AWS","CPUUtilization < 30%","MemoryUtilization < 40%","NodeCount > 0","Last 14 days","Reduce worker node count or downsize instance type; use auto-scaling","30-50%","CPUUtilization MemoryUtilization","rosa:ListClusters ec2:DescribeInstances"
"Elastic VMware Service","VMCPUUsage < 30%","VMMemoryUsage < 40%","VMPowerState = on","Last 14 days","Reduce vSAN cluster size or consolidate VMs; use smaller host instance types","30-50%","N/A","ec2:DescribeInstances"
"Oracle Database@AWS","CPUUtilization < 40%","DatabaseConnections < 20% of max","DatabaseConnections > 0","Last 14 days","Reduce OCPU count or storage allocation; switch to lower-tier service level","30-50%","CPUUtilization DatabaseConnections","odb:ListDbNodes odb:ListCloudVmClusters"
"Outposts","ServerUtilization < 30%","StorageUtilization < 40%","InstanceCount > 0","Last 14 days","Consolidate workloads onto Outpost; reduce Outpost rack count for small workloads","20-40%","N/A","outposts:ListOutposts outposts:GetOutpost"
"One Enterprise","N/A","N/A","N/A","N/A","Enterprise support program - review included services for cost optimization opportunities","N/A","N/A","N/A"
"Wickr","N/A","N/A","N/A","N/A","Review active user license count; remove inactive users to reduce per-seat costs","20-40%","N/A","wickr:ListNetworks"
"SimSpace Weaver","SimulationCPUUtilization < 40%","SimulationCount > active workloads","SimulationStatus = STARTED","Last 14 days","Stop unused simulations; reduce app count per simulation","30-50%","N/A","simspaceweaver:ListSimulations simspaceweaver:DescribeSimulation"
"Parallel Computing Service","ClusterCPUUtilization < 40%","JobQueueDepth low","JobSucceeded > 0","Last 14 days","Reduce compute node count; use Spot instances for parallel job arrays","30-60%","N/A","pcs:ListClusters pcs:ListComputeNodeGroups"
"Telco Network Builder","NetworkFunctionCount > active deployments","VNFCPUUtilization < 30%","NetworkFunctionStatus = INSTANTIATED","Last 14 days","Terminate unused network function deployments; consolidate VNF instances","30-50%","N/A","tnb:ListSolNetworkInstances tnb:ListSolFunctionInstances"
"Braket","TasksCompleted < 5/week","QuantumTaskCost < $10/week","TasksCompleted > 0","Last 30 days","Use simulator instead of quantum hardware for testing; batch quantum tasks","30-50%","N/A","braket:GetQuantumTask braket:SearchQuantumTasks"
"Signer","N/A","N/A","N/A","N/A","Pay-per-signing job; no ongoing underutilization - review signing job frequency","N/A","N/A","signer:ListSigningJobs"
"Artifact","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"Audit Manager","FrameworkCount > active assessments","AssessmentCount > 1 with low evidence collection","AssessmentStatus = ACTIVE","Last 30 days","Reduce active assessment count; consolidate frameworks","10-20%","N/A","auditmanager:ListAssessments auditmanager:ListFrameworks"
"Billing Conductor","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"B2B Data Interchange","TransformationJobCount < 5/day","ConnectorCount > active partners","TransformationJobCount > 0","Last 30 days","Reduce connector count; consolidate B2B partnerships onto shared profiles","20-40%","N/A","b2bi:ListTransformers b2bi:ListCapabilities"
"Auto Scaling","N/A","N/A","N/A","N/A","Free service - use it to eliminate overprovisioned static fleets; review scaling policies for tighter bounds","N/A","N/A","autoscaling:DescribeAutoScalingGroups"
"SWF","WorkflowExecutionCount < 10/day","ActivityTaskCount low","OpenWorkflowExecutions > 0","Last 30 days","Migrate to Step Functions for lower cost and better managed service pricing","20-40%","N/A","swf:ListDomains swf:ListOpenWorkflowExecutions"
"CloudShell","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"CloudSearch","IndexDocumentCount > active search queries","SearchRequests < 10/hour","SearchRequests > 0","Last 14 days","Migrate to OpenSearch or reduce search instance count","30-50%","SearchRequests IndexableDocuments","cloudsearch:DescribeDomains"
"CloudHSM","HSMCount > 2 with low crypto operations","CryptoOperationsPerSecond < 10","HSMState = ACTIVE","Last 14 days","Reduce HSM cluster size to minimum 2 for HA; review if CloudHSM is required vs KMS","30-50%","N/A","cloudhsm:DescribeClusters cloudhsmv2:DescribeBackups"
"Cloud Map","NamespaceCount > 1 with low discovery calls","ServiceDiscoveryCallCount < 100/day","ServiceDiscoveryCallCount > 0","Last 30 days","Consolidate namespaces; remove unused services from service registry","10-20%","N/A","servicediscovery:ListNamespaces servicediscovery:ListServices"
"Directory Service","CPUUtilization < 30%","LDAPSearchesPerSec < 10","DirectoryStatus = Active","Last 14 days","Downgrade from Enterprise Edition to Standard Edition for smaller workloads","30-50%","N/A","ds:DescribeDirectories"
"Elastic Transcoder","JobsCompleted < 5/day","PipelineCount > 1","JobsCompleted > 0","Last 30 days","Migrate to AWS Elemental MediaConvert for better pricing; consolidate pipelines","20-40%","N/A","elastictranscoder:ListPipelines elastictranscoder:ListJobsByStatus"
"Elastic Disaster Recovery","LaunchTemplateCount > active recovery plans","DrillCount = 0","SourceServerStatus = READY","Last 30 days","Remove unused source servers from replication; reduce replication lag check frequency","20-40%","N/A","drs:DescribeSourceServers drs:DescribeRecoveryInstances"
"Identity Center","N/A","N/A","N/A","N/A","Free service - review permission set and account assignment count for governance","N/A","N/A","sso-admin:ListInstances sso-admin:ListPermissionSets"
"Global Accelerator","AcceleratorCount > active endpoints","NewFlowCount < 100/day","HealthyEndpointCount > 0","Last 14 days","Remove unused accelerators; consolidate endpoints","20-40%","NewFlowCount ProcessedBytesOut","globalaccelerator:ListAccelerators"
"Global View","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"Recycle Bin","RetentionRuleCount > 5","ResourcesProtected rarely recovered","RetentionRuleStatus = available","Last 90 days","Reduce retention period length; consolidate retention rules","10-20%","N/A","rbin:ListRules"
"RTB Fabric","N/A","N/A","N/A","N/A","Review active bid request volume; optimize bid response rate to reduce processing costs","10-20%","N/A","N/A"
"CodeCatalyst","N/A","N/A","N/A","N/A","Review active space and project count; remove inactive projects and spaces","10-20%","N/A","codecatalyst:ListSpaces codecatalyst:ListProjects"
"Console Home","N/A","N/A","N/A","N/A","Console UI - no billable resources","N/A","N/A","N/A"
"Security Agent","N/A","N/A","N/A","N/A","Review agent deployment scope; disable on non-critical instances to reduce per-instance costs","10-20%","N/A","N/A"
"Security Hub CSPM","N/A","N/A","N/A","N/A","Reduce finding ingestion scope; disable unused CSPM standards to lower per-check costs","10-20%","N/A","securityhub:GetEnabledStandards"
"Security Incident Response","N/A","N/A","N/A","N/A","Review active incident case count; close resolved cases promptly to reduce per-case costs","5-10%","N/A","N/A"
"Security Lake","StorageBytes > 0 with low query frequency","QueryCount < 5/day","StorageBytes > 0","Last 30 days","Reduce source log ingestion scope; set lifecycle policies for older security data","30-50%","N/A","securitylake:ListDataLakes securitylake:ListSubscribers"
"Private Certificate Authority","CertificatesIssued < 10/month","CAStatus = ACTIVE but low utilization","CertificatesIssued > 0","Last 30 days","Delete unused CAs; consolidate to fewer subordinate CAs ($400/month per active CA)","50-80%","N/A","acm-pca:ListCertificateAuthorities acm-pca:GetCertificateAuthorityCertificate"
"S3 Glacier","RetrievalRequests < 1/month","StorageBytes not growing","StorageBytes > 0","Last 90 days","Use S3 Intelligent-Tiering or Deep Archive for lower storage costs; optimize retrieval class","30-60%","N/A","glacier:ListVaults glacier:DescribeVault"
"MQ","CPUUtilization < 30%","MessageCount < 100/hour","NetworkIn > 0","Last 14 days","Downsize broker instance type or switch to single-instance broker for dev/test","30-50%","CPUUtilization NetworkIn MessageCount","mq:ListBrokers mq:DescribeBroker"
"Aurora DSQL","ComputeCapacity > minimum","QueryCount < 50/day","QueryCount > 0","Last 14 days","Reduce ACU range; use serverless pause feature during inactivity periods","30-50%","N/A","dsql:ListClusters dsql:GetCluster"
"Activate","N/A","N/A","N/A","N/A","AWS startup program - no optimization applicable","N/A","N/A","N/A"
"App Mesh","VirtualNodeCount > active services","EnvoyProxyCPUUsage < 10%","MeshStatus = ACTIVE","Last 14 days","Remove unused virtual nodes and routes; simplify mesh topology","10-20%","EnvoyUpstreamRq EnvoyCPUUtilization","appmesh:ListMeshes appmesh:ListVirtualNodes"
"App Runner","CPUUtilization < 30%","RequestCount < 100/hour","ActiveInstances > 0","Last 14 days","Reduce vCPU and memory configuration; lower min instance count","30-50%","CPUUtilization MemoryUtilization RequestCount","apprunner:ListServices apprunner:DescribeService"
"App Studio","N/A","N/A","N/A","N/A","Low-code tool - review active app count and user licenses","N/A","N/A","N/A"
"AppConfig","DeploymentCount < 2/week","ConfigurationProfileCount > active deployments","DeploymentStatus = COMPLETE","Last 30 days","Consolidate configuration profiles; reduce deployment frequency","5-10%","N/A","appconfig:ListApplications appconfig:ListConfigurationProfiles"
"AppFabric","ConnectorCount > active integrations","NormalizedEventCount < 1000/day","NormalizedEventCount > 0","Last 30 days","Remove unused app authorizations; reduce ingestion connector count","20-40%","N/A","appfabric:ListAppBundles"
"AppSync","4XXError rate high with low request volume","RequestCount < 100/day","RequestCount > 0","Last 14 days","Remove unused resolvers; reduce caching TTL or disable cache for low-traffic APIs","20-40%","4XXError 5XXError Latency RequestCount","appsync:ListGraphqlApis appsync:GetGraphqlApi"
"Application Discovery Service","N/A","N/A","N/A","N/A","Free service - review discovery agent deployment and ensure data is being used for migration planning","N/A","N/A","discovery:ListConfigurations discovery:DescribeAgents"
"Application Migration Service","SourceServerCount > active migrations","DataReplicationStatus = INITIATING for long period","SourceServerStatus = READY","Last 30 days","Terminate completed migration source servers; reduce replication lag check frequency","20-40%","N/A","mgn:DescribeSourceServers mgn:DescribeReplicationConfigurationTemplates"
"Billing","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"CloudWatch Evidently","FeatureCount > active experiments","ExperimentCount = 0","FeatureStatus = AVAILABLE","Last 30 days","Remove unused features and experiments; consolidate feature flag management","10-20%","N/A","evidently:ListProjects evidently:ListFeatures"
"CloudWatch Logs","IncomingBytes < 1MB/day per log group","RetentionInDays = never expire","IncomingBytes > 0","Last 30 days","Set retention policies on all log groups; move to S3 for long-term archival","50-70%","IncomingBytes IncomingLogEvents StoredBytes","logs:DescribeLogGroups logs:DescribeMetricFilters"
"CloudWatch Logs Insights","N/A","N/A","N/A","N/A","Pay-per-query based on data scanned; optimize queries to reduce scanned bytes","20-40%","N/A","logs:StartQuery logs:GetQueryResults"
"CloudWatch RUM","AppMonitorCount > active web apps","EventsRecorded < 100/day","EventsRecorded > 0","Last 30 days","Remove unused app monitors; reduce sampling rate for high-traffic apps","20-40%","N/A","rum:ListAppMonitors rum:GetAppMonitor"
"CloudWatch Synthetics","CanaryCount > active endpoints","CanaryRunsFailed > 10% of runs","CanaryRunsSucceeded > 0","Last 14 days","Reduce canary run frequency; consolidate canaries testing same endpoints","20-40%","N/A","synthetics:DescribeCanaries synthetics:GetCanaryRuns"
"Cost and Usage Reports","N/A","N/A","N/A","N/A","Free service - review report delivery frequency and granularity for storage optimization","N/A","N/A","cur:DescribeReportDefinitions"
"DataZone","DomainCount > 1","AssetPublishCount < 5/week","DomainStatus = AVAILABLE","Last 30 days","Consolidate data domains; remove unused projects and environments","20-40%","N/A","datazone:ListDomains datazone:ListProjects"
"Database Migration Service","ReplicationInstanceClass oversized","FullLoadRows low relative to instance capacity","ReplicationInstanceStatus = available","Last 14 days","Downsize replication instance class; delete unused replication instances after migration","30-50%","CDCIncomingChanges FreeableMemory CPUUtilization","dms:DescribeReplicationInstances dms:DescribeReplicationTasks"
"Elemental Appliances & Software","N/A","N/A","N/A","N/A","On-premises hardware - review utilization reports and consolidate encoding workloads","20-40%","N/A","N/A"
"Elemental MediaConnect","ActiveFlows with low bitrate","OutputCount > active destinations","FlowStatus = ACTIVE","Last 14 days","Reduce output count; downgrade flow entitlement bandwidth","20-40%","N/A","mediaconnect:ListFlows mediaconnect:DescribeFlow"
"Elemental MediaConvert","JobsCompleted < 10/day","QueueUtilization < 30%","JobsCompleted > 0","Last 30 days","Use on-demand queues instead of reserved queues for low-volume transcoding","20-40%","N/A","mediaconvert:ListJobs mediaconvert:DescribeQueue"
"Elemental MediaLive","ChannelState = RUNNING with low input bitrate","InputLossSeconds > 10% of runtime","ChannelState = RUNNING","Last 14 days","Stop channels when not actively streaming; use standard vs premium input types","30-50%","N/A","medialive:ListChannels medialive:DescribeChannel"
"Elemental MediaPackage","OriginEndpointCount > active CDN distributions","EgressBytes < 1GB/day","EgressBytes > 0","Last 14 days","Remove unused origin endpoints; consolidate packaging configurations","20-40%","EgressBytes","mediapackage:ListChannels mediapackage:ListOriginEndpoints"
"Elemental MediaStore","ObjectCount > 0 with low access","GetRequestsCount < 10/day","PutRequestsCount > 0","Last 30 days","Apply lifecycle policies; use S3 instead for non-live media storage","30-50%","GetRequestsCount PutRequestsCount BytesUploaded","mediastore:ListContainers mediastore:GetContainerPolicy"
"Elemental MediaTailor","ChannelCount > active broadcasts","AdDecisionServerErrors > 5%","SessionInitializationRequests > 0","Last 14 days","Remove unused channels and source locations; optimize ad insertion configuration","20-40%","N/A","mediatailor:ListChannels mediatailor:ListPlaybackConfigurations"
"Glue DataBrew","ProfileJobCount > active datasets","RecipeJobCount < 1/week","RecipeJobStatus = SUCCEEDED","Last 30 days","Remove unused datasets and recipe jobs; reduce profiling frequency","20-40%","N/A","databrew:ListJobs databrew:ListDatasets"
"Health Dashboard","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"IQ","N/A","N/A","N/A","N/A","AWS marketplace service - no optimization applicable","N/A","N/A","N/A"
"Interactive Video Service","ChannelCount > 1 with low viewer count","ConcurrentViewers < 10","IngestVideoFramerate > 0","Last 14 days","Switch to Basic channel type for low-latency use cases; reduce stream resolution","20-40%","IngestVideoFramerate ConcurrentViewers LiveDeliveredTime","ivs:ListChannels ivs:GetChannel"
"Kinesis Video Streams","PutMedia.IncomingBytes < 1GB/day","GetMedia.OutgoingBytes low","PutMedia.Requests > 0","Last 14 days","Reduce stream retention period; lower media fragment duration","30-50%","PutMedia.IncomingBytes GetMedia.OutgoingBytes","kinesisvideo:ListStreams kinesisvideo:DescribeStream"
"Lake Formation","N/A","N/A","N/A","N/A","Free service - costs come from underlying Glue and S3; review catalog usage and permissions","N/A","N/A","lakeformation:ListResources lakeformation:GetDataLakeSettings"
"Launch Wizard","N/A","N/A","N/A","N/A","Free service - costs come from deployed resources; review and rightsize deployed application resources","N/A","N/A","launchwizard:ListDeployments"
"Mainframe Modernization","RuntimeEnvironmentCPUUtilization < 30%","ApplicationCount > active workloads","RuntimeEnvironmentStatus = Ready","Last 14 days","Reduce runtime environment capacity units; remove unused application deployments","30-50%","N/A","m2:ListEnvironments m2:ListApplications"
"Marketplace","N/A","N/A","N/A","N/A","Review active SaaS and AMI subscriptions; cancel unused third-party product subscriptions","20-60%","N/A","aws-marketplace:DescribeEntity"
"Parameter Store","N/A","N/A","N/A","N/A","Review Advanced parameter count; downgrade to Standard tier for parameters not requiring high throughput","30-50%","N/A","ssm:DescribeParameters ssm:GetParametersByPath"
"Personal Health Dashboard","N/A","N/A","N/A","N/A","Free service - no cost optimization possible","N/A","N/A","N/A"
"Resource Groups","N/A","N/A","N/A","N/A","Free service - use resource groups to identify and tag underutilized resources across services","N/A","N/A","resource-groups:ListGroups"
"Snow Family","N/A","N/A","N/A","N/A","Review device rental duration; return Snow devices promptly after data transfer to avoid daily rental fees","20-40%","N/A","snowball:ListJobs snowball:DescribeJob"
"Support","N/A","N/A","N/A","N/A","Review support plan tier; downgrade from Business to Developer if support ticket volume is low","20-60%","N/A","N/A"
"Tag Editor","N/A","N/A","N/A","N/A","Free service - use to enforce tagging policies enabling cost allocation and resource optimization","N/A","N/A","N/A"
"Well-Architected Tool","N/A","N/A","N/A","N/A","Free service - use workload reviews to identify cost optimization opportunities","N/A","N/A","wellarchitected:ListWorkloads"
"re:Post","N/A","N/A","N/A","N/A","Community forum - no billable resources","N/A","N/A","N/A"
