Service Name,Criteria 1,Criteria 2,Retention Consideration,Storage Class/Tier,Compliance Notes,Cost Comparison vs Active
Deadline Cloud,Job history archive > 365 days old,No recent render job submissions,Render job history archive (1-3 years),S3 Glacier for render job log archives,Media rendering audit trail - SOC2/M&E compliance,S3 Glacier cost vs active Deadline Cloud render farm charges
IoT Device Management,Device registration history > 365 days old,No recent device provisioning or updates,Device lifecycle archive (1-3 years),S3 Glacier for device registry exports,IoT device compliance audit - ISO 27001/SOC2,S3 Glacier cost vs active IoT Device Management charges
IoT Device Defender,Audit finding archive > 365 days old,No recent security audits or ML detector anomalies,IoT security audit archive (1-3 years),S3 Glacier for audit finding exports,IoT security compliance - ISO 27001/SOC2,S3 Glacier cost vs active Defender audit charges
IoT Events,Detector state history > 365 days old,No recent event detector activity,IoT event processing archive (1-3 years),S3 Glacier for event log archives,IoT event compliance archive - SOC2,S3 Glacier cost vs active IoT Events detector charges
IoT FleetWise,Vehicle signal archive > 365 days old,No recent vehicle data collection,Automotive telemetry archive (1-7 years),S3 Glacier for vehicle signal archives,Automotive compliance archive - ISO 26262/SOC2,S3 Glacier cost vs active FleetWise signal collection charges
IoT TwinMaker,Digital twin state archive > 365 days old,No recent twin updates or simulations,Digital twin state archive (1-3 years),S3 Glacier for digital twin state exports,Industrial digital twin compliance - ISO 27001/SOC2,S3 Glacier cost vs active TwinMaker workspace charges
Monitron,Sensor anomaly archive > 365 days old,No recent sensor readings or anomaly detections,Industrial sensor data archive (1-7 years),S3 Glacier for sensor data exports,Industrial monitoring compliance - SOC2/ISO 55001,S3 Glacier cost vs active Monitron device and gateway charges
Panorama,Inference result archive > 365 days old,No recent computer vision model deployments,Edge ML inference archive (1-3 years),S3 Glacier for inference log archives,Edge computer vision compliance - SOC2,S3 Glacier cost vs active Panorama appliance charges
Comprehend Medical,Medical NLP archive > 6 years old,No recent medical text analysis,Healthcare NLP archive (HIPAA min 6 years; up to 10+ years per state requirements),S3 Glacier for medical NLP result archives,HIPAA medical data compliance - 6-year minimum retention,S3 Glacier cost vs active Comprehend Medical per-unit charges
Augmented AI,Review task archive > 365 days old,No recent human review activity,Human-in-the-loop audit trail (1-3 years),S3 Glacier for human review output archives,Human review compliance audit - SOC2/HIPAA,S3 Glacier cost vs active A2I review task charges
Bedrock AgentCore,Agent interaction archive > 365 days old,No recent agent workflow executions,AI agent audit trail (1-3 years),S3 Glacier for agent interaction logs,AI governance compliance - SOC2/GDPR,S3 Glacier cost vs active Bedrock AgentCore execution charges
Q Business,Conversation archive > 365 days old,No recent enterprise assistant queries,Enterprise AI audit trail (1-3 years),S3 Glacier for conversation and index archives,Enterprise AI governance - SOC2/GDPR,S3 Glacier cost vs active Q Business subscription ($20/user/month)
Q Developer,Code suggestion history > 365 days old,No recent code generation activity,Developer AI audit trail (1-3 years),S3 Glacier for usage log archives,Code generation compliance - SOC2/IP protection,S3 Glacier cost vs active Q Developer subscription ($19/user/month)
Nova Act,Agent task archive > 365 days old,No recent automated task executions,AI automation audit trail (1-3 years),S3 Glacier for task execution log archives,AI automation governance - SOC2/GDPR,S3 Glacier cost vs active Nova Act usage charges
Amazon Q,Conversation archive > 365 days old,No recent queries or responses,AI assistant audit trail (1-3 years),S3 Glacier for interaction log archives,AI governance compliance - SOC2/GDPR,S3 Glacier cost vs active Amazon Q subscription
DevOps Agent,Activity archive > 365 days old,No recent automated DevOps activities,DevOps automation audit trail (1-3 years),S3 Glacier for activity log archives,DevOps compliance audit - SOC2/change management,S3 Glacier cost vs active agent usage
Service Quotas,Quota history > 365 days old,No recent quota modification requests,Service limit audit trail (1-3 years),S3 Glacier for quota change history exports,Governance compliance audit - SOC2,S3 Glacier cost (quota data stored in AWS managed storage)
Resource Access Manager,Resource share history > 365 days old,No recent resource sharing activity,Resource sharing audit trail (1-3 years),S3 Glacier for CloudTrail RAM event archives,Resource governance compliance - SOC2/ISO 27001,S3 Glacier cost for CloudTrail events vs active CloudWatch Logs
Resource Explorer,Search index history > 365 days old,No recent resource discovery queries,Resource inventory archive (1-3 years),S3 Glacier for resource inventory exports,Resource governance audit - SOC2,S3 Glacier cost vs active Resource Explorer index charges
Infrastructure Composer,Template version archive > 365 days old,No recent infrastructure designs,IaC design audit trail (1-3 years),S3 Glacier for template version archives,Infrastructure governance compliance - SOC2/change management,S3 Glacier cost vs CloudFormation template storage
Serverless Application Repository,Application version archive > 365 days old,No recent application deployments,SAR application audit trail (1-3 years),S3 Glacier for application package archives,Serverless application compliance - SOC2,S3 Glacier cost vs active SAR deployment charges
Proton,Environment/service template archive > 365 days old,No recent template deployments,Platform engineering audit trail (1-3 years),S3 Glacier for Proton template archives,Platform governance compliance - SOC2/change management,S3 Glacier cost vs active Proton environment charges
Data Transfer Terminal,Transfer log archive > 365 days old,No recent data transfer activity,Data transfer audit trail (1-3 years),S3 Glacier for transfer log archives,Data transfer compliance audit - SOC2,S3 Glacier cost vs active transfer charges
Supply Chain,Supply chain event archive > 365 days old,No recent supply chain data ingestion,Supply chain data archive (7 years for regulatory compliance),S3 Glacier for supply chain data exports,Supply chain compliance - ISO 28000/SOC2,S3 Glacier cost vs active Supply Chain instance charges
Partner Central,Partner interaction archive > 365 days old,No recent partner engagement activity,Partner compliance archive (1-3 years),S3 Glacier for partner interaction log archives,Partner governance compliance - SOC2,S3 Glacier cost for log archives
Payment Cryptography,Key usage history > 7 years old,No recent cryptographic operations,Payment security archive (7 years - PCI-DSS requirement),HSM-backed key usage logs in S3 Glacier,PCI-DSS payment security compliance - 7-year key usage retention,S3 Glacier cost vs active key usage operations
Verified Permissions,Policy history > 365 days old,No recent authorization decisions,Access control audit trail (1-7 years for compliance),S3 Glacier for policy evaluation log archives,Authorization compliance audit - SOC2/HIPAA/PCI-DSS,S3 Glacier cost vs active Verified Permissions authorization charges
User Notifications,Notification history > 365 days old,No recent notification deliveries,Notification audit trail (1-3 years),S3 Glacier for notification log archives,Communication compliance audit - SOC2,S3 Glacier cost vs active notification delivery charges
End User Messaging,Message history > 365 days old,No recent SMS/push message sends,Communication archive (1-7 years for compliance),S3 Glacier for message delivery log archives,Communication compliance - GDPR/CAN-SPAM/SOC2,S3 Glacier cost vs active messaging charges
Chime SDK,Communication log archive > 365 days old,No recent SDK meeting or call activity,Communication compliance archive (1-7 years - FINRA),S3 Glacier for communication log archives,Communication compliance - FINRA/HIPAA/SOC2,S3 Glacier cost vs active Chime SDK usage charges
WorkSpaces Applications,Application bundle archive > 365 days old,No recent streaming session activity,App bundle version archive (1-3 years),S3 Glacier for application bundle archives,Application delivery compliance audit - SOC2,S3 Glacier cost vs active WorkSpaces streaming charges
WorkSpaces Secure Browser,Browser session log > 365 days old,No recent secure browsing sessions,Browser audit trail (1-3 years),S3 Glacier for session log archives,Secure browser compliance audit - SOC2,S3 Glacier cost vs active WorkSpaces Secure Browser charges
WorkSpaces Thin Client,Device configuration archive > 365 days old,No recent thin client sessions,Endpoint compliance archive (1-3 years),S3 Glacier for device log archives,Thin client compliance audit - SOC2/HIPAA,S3 Glacier cost vs active WorkSpaces Thin Client device charges
Red Hat OpenShift Service on AWS,etcd backup age > 30 days with no restore,No recent OpenShift cluster operations,Cluster state backup for DR (1-3 years),etcd snapshot in S3 with Glacier transition,OpenShift cluster compliance archive - SOC2/FedRAMP,S3 Glacier cost vs active ROSA cluster charges
Elastic VMware Service,VM snapshot age > 90 days,No recent VM restore or launch activity,VM image archive for compliance (1-3 years),EBS-backed snapshot storage for VMware VMs,VMware workload disaster recovery - SOC2,EBS snapshot cost vs active VMware instance on AWS charges
Oracle Database@AWS,Automated backup age > 35 days with no restore,No recent database restore activity,Oracle DB backup retention (35 days automated + 7 years manual),Cross-region snapshot replication for Oracle DR,Oracle compliance backups - HIPAA/SOC2/Oracle audit,Snapshot storage cost vs active Oracle Database@AWS charges
Outposts,Local snapshot/backup age > 90 days,No recent Outpost workload restore,Hybrid cloud backup retention (1-3 years),AWS Backup for Outposts resources + S3 Glacier for logs,On-premises extension compliance - SOC2/FedRAMP,Backup storage cost vs active Outposts rack monthly fee
One Enterprise,Usage archive > 365 days old,No recent enterprise feature usage,Enterprise compliance archive (1-3 years),S3 Glacier for usage log archives,Enterprise governance compliance - SOC2,S3 Glacier cost vs active One Enterprise subscription
Wickr,Communication archive > 7 years old,No recent secure messaging activity,Secure communication archive (7 years - FINRA/legal),S3 Glacier for encrypted communication archives,Secure communication compliance - FINRA/HIPAA/e-discovery,S3 Glacier cost vs active Wickr Enterprise per-user charges
SimSpace Weaver,Simulation state archive > 365 days old,No recent simulation runs,Simulation history archive (1-3 years),S3 Glacier for simulation state and result archives,Simulation audit trail - SOC2,S3 Glacier cost vs active SimSpace Weaver simulation charges
Parallel Computing Service,Job history archive > 365 days old,No recent HPC job submissions,HPC job audit trail (1-3 years),S3 Glacier for job log archives,HPC compliance audit - SOC2/FISMA for government workloads,S3 Glacier cost vs active HPC cluster charges
Telco Network Builder,Network deployment archive > 365 days old,No recent telecom network deployments,Telecom compliance archive (7 years - FCC/telecom regulation),S3 Glacier for network configuration archives,Telecom compliance archive - FCC/SOC2,S3 Glacier cost vs active Telco Network Builder charges
Braket,Quantum job archive > 365 days old,No recent quantum computing tasks,Quantum computing audit trail (1-3 years),S3 Glacier for quantum job result archives,Quantum computing compliance archive - SOC2,S3 Glacier cost vs active Braket per-task charges
Signer,Signing job history > 365 days old,No recent code or document signing activity,Code signing audit trail (3-7 years for compliance),S3 Glacier for signing profile and job archives,Code signing compliance - SOC2/PCI-DSS/software supply chain,S3 Glacier cost vs active Signer signing operation charges
Artifact,Compliance report archive > 365 days old,No recent compliance document downloads,Compliance report retention (3-7 years),S3 Glacier for downloaded compliance report archives,AWS compliance documentation archive - SOC2/PCI-DSS/HIPAA,S3 Glacier cost vs local compliance report storage
Audit Manager,Assessment archive > 7 years old,No recent audit framework assessments,Compliance assessment archive (7 years - SOC2/PCI-DSS),S3 Glacier for audit evidence and assessment archives,Audit compliance - SOC2/PCI-DSS/HIPAA/ISO 27001,S3 Glacier cost vs active Audit Manager assessment charges
Billing Conductor,Billing report archive > 7 years old,No recent custom billing rule modifications,Financial record archive (7 years for IRS/tax compliance),S3 Glacier for billing report exports,Financial compliance archive - IRS 7-year retention/SOC2,S3 Glacier cost vs active Billing Conductor charges
B2B Data Interchange,EDI document archive > 7 years old,No recent EDI transaction processing,EDI compliance archive (7 years - financial/trading partners),S3 Glacier for EDI transaction archives,B2B compliance archive - SOC2/EDI standards/financial,S3 Glacier cost vs active B2B Data Interchange transaction charges
Auto Scaling,Scaling activity history > 365 days old,No recent auto scaling events,Auto scaling audit trail (1-3 years),S3 Glacier for CloudWatch/CloudTrail scaling event archives,Auto scaling compliance audit - SOC2,S3 Glacier cost for logs vs active Auto Scaling group configuration
SWF,Workflow execution history > 365 days old,No recent workflow executions,Workflow execution archive (1-3 years),S3 Glacier for workflow history exports,Workflow compliance audit - SOC2,S3 Glacier cost vs active SWF workflow execution charges
CloudShell,Session log archive > 365 days old,No recent CloudShell sessions,Admin session audit trail (1-3 years),S3 Glacier for CloudShell session log archives,Admin activity compliance audit - SOC2/PCI-DSS,S3 Glacier cost vs active CloudShell session storage (1 GB free)
CloudSearch,Search index archive > 365 days old,No recent document uploads or search queries,Search index backup (1-3 years),S3 Glacier for CloudSearch configuration and data exports,Search service audit trail - SOC2,S3 Glacier cost vs active CloudSearch instance charges
CloudHSM,Key backup age > 365 days with no usage,HSM audit log > 365 days old,HSM key usage archive (7 years - PCI-DSS/FIPS 140-2),S3 Glacier for HSM audit log archives,HSM compliance archive - PCI-DSS/FIPS 140-2/SOC2,S3 Glacier cost for logs vs active CloudHSM cluster ($1.60/HSM/hour)
Cloud Map,Service discovery record archive > 365 days old,No recent service registration activity,Service registry audit trail (1-3 years),S3 Glacier for CloudTrail Cloud Map event archives,Service discovery compliance audit - SOC2,S3 Glacier cost for CloudTrail events vs active Cloud Map queries
Directory Service,Directory log archive > 7 years old,No recent authentication or directory operations,Active Directory compliance archive (7 years - SOC2/compliance),S3 Glacier for directory log archives,Active Directory compliance - SOC2/HIPAA/PCI-DSS,S3 Glacier cost vs active Directory Service instance ($0.09/hour)
Elastic Transcoder,Transcoding job archive > 365 days old,No recent media transcoding activity,Media job history archive (1-3 years),S3 Glacier for transcoding output and log archives,Media compliance archive - SOC2,S3 Glacier cost vs active Elastic Transcoder per-minute charges
Elastic Disaster Recovery,Replication snapshot age > 90 days,No recent failover or drill activity,DR snapshot retention (90 days minimum - 3 years for compliance),AWS Backup or EBS snapshots with Glacier transition,Disaster recovery compliance - SOC2/ISO 22301/HIPAA,Snapshot storage cost vs active replication charges ($0.028/GB-month)
Identity Center,SSO audit log archive > 7 years old,No recent authentication events,Identity compliance archive (7 years - SOC2/PCI-DSS),S3 Glacier for CloudTrail SSO event archives,Identity compliance archive - SOC2/PCI-DSS/HIPAA,S3 Glacier cost for audit events vs active Identity Center usage
Global Accelerator,Access log archive > 365 days old,No recent accelerated traffic,Network access log retention (1-3 years),S3 Glacier for access log archives,Network performance compliance audit - SOC2,S3 Glacier cost vs active Global Accelerator ($0.025/hour + data transfer)
Global View,Inventory snapshot > 365 days old,No recent multi-region resource queries,Resource inventory archive (1-3 years),S3 Glacier for resource inventory exports,Multi-region governance audit - SOC2,S3 Glacier cost for inventory snapshots
Recycle Bin,Retained resource age > 365 days,No recent resource recovery attempts,Resource recovery window (1-365 days per retention rule),EBS snapshot or AMI in Recycle Bin retention storage,Data recovery compliance - SOC2/data governance,Minimal retention cost vs permanent deletion risk
RTB Fabric,Bid request archive > 365 days old,No recent ad bidding activity,Advertising data archive (1-3 years for compliance),S3 Glacier for bid request and response archives,Advertising compliance archive - SOC2,S3 Glacier cost vs active RTB Fabric usage charges
CodeCatalyst,Project history archive > 365 days old,No recent development activity,Dev project history archive (1-3 years),S3 Glacier for project artifact and log archives,Development compliance audit - SOC2/change management,S3 Glacier cost vs active CodeCatalyst space charges
Console Home,N/A - Console-only service,N/A,N/A,N/A,N/A - UI element only - no archival storage concept,N/A
Security Agent,Security scan history > 365 days old,No recent security scan activity,Security scan audit trail (1-3 years),S3 Glacier for security scan result archives,Security compliance archive - SOC2/PCI-DSS,S3 Glacier cost vs active Security Agent scan charges
Security Hub CSPM,CSPM finding archive > 365 days old,Historical cloud posture data,Cloud security posture archive (1-3 years),S3 Glacier for CSPM finding exports,Cloud security compliance archive - SOC2/CIS Benchmarks,S3 Glacier cost vs active Security Hub CSPM charges
Security Incident Response,Incident case archive > 7 years old,No recent security incident activity,Incident response archive (7 years - SOC2/legal),S3 Glacier for incident case archives,Security incident compliance - SOC2/NIST/ISO 27001,S3 Glacier cost vs active Security Incident Response charges
Security Lake,Security log archive > 7 years old,Log access frequency < 1/month,Security data lake compliance archive (7 years - SEC/FINRA financial compliance),S3 Glacier for OCSF security log archives,Security data compliance - SOC2/PCI-DSS/HIPAA/FISMA (7-year retention per SEC/FINRA),S3 Glacier cost vs active Security Lake data ingestion charges
Private Certificate Authority,Certificate issuance history > 7 years old,No recent certificate issuances,PKI compliance archive (7 years - SOC2/PCI-DSS),S3 Glacier for certificate audit log archives,PKI compliance archive - SOC2/PCI-DSS/HIPAA,S3 Glacier cost vs active Private CA ($400/month per CA)
S3 Glacier,Vault lock policy enabled,Archive age > 1 year in vault,Indefinite retention for legal hold (7+ years standard),Vault with compliance lock (WORM storage),WORM compliance - tamper-proof archives - SOC2/PCI-DSS/SEC,Lowest cost storage ($0.00099/GB-month for Deep Archive)
MQ,Broker log archive > 365 days old,No recent message broker activity,Message broker audit trail (1-3 years),S3 Glacier for broker log archives,Message queue compliance audit - SOC2,S3 Glacier cost vs active MQ broker ($0.30/hour for mq.m5.large)
Aurora DSQL,Automated backup > 35 days old,No recent database cluster restore activity,Distributed SQL backup retention (35 days + long-term manual),Cross-region snapshot replication for DR,ACID transaction compliance backups - SOC2/HIPAA,Snapshot storage cost vs active Aurora DSQL cluster charges
Activate,N/A - Program/console service,N/A,N/A,N/A,N/A - Startup program with no archival storage concept,N/A
App Mesh,Access log archive > 365 days old,No recent service mesh traffic,Service mesh audit trail (1-3 years),S3 Glacier for Envoy access log archives,Service mesh compliance audit - SOC2/zero-trust,S3 Glacier cost vs active CloudWatch Logs for Envoy logs
App Runner,Application log archive > 365 days old,No recent application deployments or traffic,Container app audit trail (1-3 years),S3 Glacier for CloudWatch Logs exports,Container app compliance audit - SOC2,S3 Glacier cost vs active App Runner instance charges
App Studio,Application build archive > 365 days old,No recent low-code application usage,Application version history (1-3 years),S3 Glacier for app configuration archives,Low-code compliance audit - SOC2,S3 Glacier cost vs active App Studio charges
AppConfig,Configuration deployment history > 365 days old,No recent configuration changes or deployments,Application config audit trail (1-3 years),S3 Glacier for configuration version archives,Configuration compliance audit - SOC2/change management,S3 Glacier cost vs active AppConfig deployment charges
AppFabric,Data integration log archive > 365 days old,No recent SaaS data normalization activity,SaaS integration audit trail (1-3 years),S3 Glacier for normalized event archives,SaaS data compliance audit - SOC2/HIPAA,S3 Glacier cost vs active AppFabric ingestion charges
AppSync,GraphQL API log archive > 365 days old,No recent API queries or mutations,GraphQL API audit trail (1-3 years),S3 Glacier for CloudWatch Logs exports,GraphQL compliance audit - SOC2,S3 Glacier cost vs active AppSync query charges
Application Discovery Service,Discovery data archive > 365 days old,No recent migration discovery scans,Migration discovery archive (1-3 years),S3 Glacier for discovery data exports,Migration planning audit trail - SOC2,S3 Glacier cost vs active Application Discovery Service charges
Application Migration Service,Replication log archive > 365 days old,No recent server migration activity,Migration audit trail (1-3 years),S3 Glacier for migration log archives,Server migration compliance - SOC2,S3 Glacier cost vs active Application Migration Service charges
Billing,Billing data archive > 3 years old,No recent billing analysis activity,Financial record archive (IRS min 3 years; 7-year conservative best practice for financial audits),S3 Glacier for Cost and Usage Report archives,Financial compliance archive - IRS 3-year minimum (7 years recommended for completeness)/SOC2,S3 Glacier cost for archived billing data vs CloudWatch
CloudWatch Evidently,Experiment archive > 365 days old,No recent feature flag experiments,Feature flag experiment archive (1-3 years),S3 Glacier for experiment result archives,Feature release compliance audit - SOC2,S3 Glacier cost vs active Evidently event evaluation charges
CloudWatch Logs,Log retention > 365 days configured,Low log access frequency,Compliance log retention (1-7 years per framework),Export to S3 Glacier for long-term storage,Audit and compliance logs - SOC2/HIPAA/PCI-DSS centralized,S3 Glacier much cheaper than CloudWatch Logs active retention
CloudWatch Logs Insights,Query history > 365 days old,No recent log analysis queries,Log analysis audit trail (1-3 years),S3 Glacier for query result exports,Log analysis compliance audit - SOC2,S3 Glacier cost vs active CloudWatch Logs Insights query charges
CloudWatch RUM,Session archive > 365 days old,No recent web application monitoring,Web performance archive (1-3 years),S3 Glacier for RUM event archives,Web application compliance audit - SOC2,S3 Glacier cost vs active CloudWatch RUM event ingestion
CloudWatch Synthetics,Canary run archive > 365 days old,No recent synthetic test executions,Availability monitoring archive (1-3 years),S3 Glacier for canary run result and screenshot archives,Synthetic monitoring compliance - SOC2/SLA compliance,S3 Glacier cost vs active Synthetics canary run charges
Cost and Usage Reports,CUR data archive > 3 years old,No recent cost analysis queries,Financial record archive (IRS min 3 years; 7-year conservative best practice for financial audits),S3 Glacier for CUR CSV file archives,Financial compliance archive - IRS 3-year minimum (7 years recommended)/SOC2 cost governance,S3 Glacier cost vs active S3 Standard for CUR files
DataZone,Data catalog archive > 365 days old,No recent data asset publishing or discovery,Data governance archive (1-3 years),S3 Glacier for data catalog and lineage archives,Data governance compliance - GDPR/SOC2/data lineage,S3 Glacier cost vs active DataZone domain charges
Database Migration Service,Migration task archive > 365 days old,No recent database migration activity,Migration audit trail (1-3 years),S3 Glacier for DMS task log archives,Database migration compliance audit - SOC2,S3 Glacier cost vs active DMS replication instance charges
Elemental Appliances & Software,N/A - Hardware/software product,N/A,N/A,N/A,N/A - Physical appliance product - no cloud archival concept,N/A
Elemental MediaConnect,Flow log archive > 365 days old,No recent media transport activity,Media transport audit trail (1-3 years),S3 Glacier for flow log archives,Media transport compliance - SOC2/broadcast standards,S3 Glacier cost vs active MediaConnect flow charges
Elemental MediaConvert,Transcoding job archive > 365 days old,No recent media encoding activity,Media processing archive (1-3 years),S3 Glacier for job history and output log archives,Media encoding compliance audit - SOC2,S3 Glacier cost vs active MediaConvert per-minute charges
Elemental MediaLive,Channel log archive > 365 days old,No recent live stream activity,Live streaming audit trail (1-3 years),S3 Glacier for channel log archives,Live broadcast compliance audit - SOC2,S3 Glacier cost vs active MediaLive input/output charges
Elemental MediaPackage,Harvest job archive > 365 days old,No recent content packaging activity,Content packaging audit (1-3 years),S3 Glacier for content archives and log exports,Content delivery compliance - SOC2/DRM,S3 Glacier cost vs active MediaPackage packaging charges
Elemental MediaStore,Container data age > 365 days old,No recent media asset access,Media asset archive (1-3 years),S3 Glacier for archived media container data,Media storage compliance archive - SOC2,S3 Glacier cost vs active MediaStore container charges
Elemental MediaTailor,Ad insertion log archive > 365 days old,No recent ad personalization activity,Ad delivery audit trail (1-3 years),S3 Glacier for ad insertion log archives,Ad delivery compliance audit - SOC2/advertising standards,S3 Glacier cost vs active MediaTailor session and ad charges
Glue DataBrew,Recipe version archive > 365 days old,No recent data preparation jobs,Data preparation audit trail (1-3 years),S3 Glacier for DataBrew job output and profile archives,Data preparation compliance - SOC2/data lineage,S3 Glacier cost vs active DataBrew node charges
Health Dashboard,Health event archive > 365 days old,No recent AWS service health events accessed,Health event history archive (1-3 years),S3 Glacier for Health API event exports,AWS health compliance audit - SOC2/incident management,S3 Glacier cost for event exports (Health Dashboard free service)
IQ,N/A - Console-only marketplace service,N/A,N/A,N/A,N/A - Expert marketplace with no archival storage concept,N/A
Interactive Video Service,Recording archive > 365 days old,No recent live stream activity or recordings,Video recording archive (1-3 years),S3 Glacier for video recording archives,Video streaming compliance archive - SOC2,S3 Glacier cost vs active IVS channel and storage charges
Kinesis Video Streams,Video data archive > 365 days old,No recent video stream ingestion,Video surveillance archive (1-7 years for compliance),S3 Glacier for video data archives,Video surveillance compliance - SOC2/physical security,S3 Glacier cost vs active KVS data ingestion charges
Lake Formation,Data lake access log archive > 365 days old,No recent data governance operations,Data lake governance archive (1-7 years for compliance),S3 Glacier for CloudTrail Lake Formation event archives,Data lake compliance - SOC2/GDPR/HIPAA/data governance,S3 Glacier cost for CloudTrail events vs active CloudWatch Logs
Launch Wizard,Deployment history archive > 365 days old,No recent guided deployments,Deployment audit trail (1-3 years),S3 Glacier for deployment log archives,Deployment compliance audit - SOC2/change management,S3 Glacier cost vs active CloudFormation/CloudWatch Logs
Mainframe Modernization,Migration archive > 365 days old,No recent mainframe application migration activity,Modernization audit trail (1-3 years),S3 Glacier for migration artifact and log archives,Mainframe migration compliance - SOC2/change management,S3 Glacier cost vs active Mainframe Modernization runtime charges
Marketplace,Subscription history archive > 7 years old,No recent software procurement activity,Procurement record archive (7 years for IRS/financial),S3 Glacier for purchase history exports,Software procurement compliance - IRS/SOC2/financial audit,S3 Glacier cost for procurement records (Marketplace data free)
Parameter Store,Parameter version archive > 365 days old,No recent parameter access or modifications,Configuration history archive (1-3 years),S3 Glacier for parameter change history exports,Configuration compliance audit - SOC2/PCI-DSS,S3 Glacier cost vs active Parameter Store standard parameters (free up to 10K)
Personal Health Dashboard,Event archive > 365 days old,No recent AWS service disruptions accessed,Health event history (1-3 years),S3 Glacier for health event exports,AWS service health compliance - SOC2/incident management,S3 Glacier cost for event exports (Personal Health Dashboard free)
Resource Groups,Group configuration archive > 365 days old,No recent resource group operations,Resource organization audit (1-3 years),S3 Glacier for CloudTrail resource group event archives,Resource governance compliance - SOC2,S3 Glacier cost for CloudTrail events (Resource Groups free service)
Snow Family,Transfer log archive > 7 years old,No recent data transfer operations,Physical data transfer archive (7 years for compliance),S3 Glacier for Snow Family transfer log archives,Physical media data transfer compliance - SOC2/chain of custody,S3 Glacier cost for transfer logs vs per-job Snow Family charges
Support,Support case archive > 7 years old,No recent support case activity,Support case history archive (7 years for compliance),S3 Glacier for support case exports,Support compliance archive - SOC2/incident management,S3 Glacier cost for case exports (Support plan charges separate)
Tag Editor,Tag change history > 365 days old,No recent resource tagging operations,Tag governance audit trail (1-3 years),S3 Glacier for CloudTrail tag change event archives,Tag governance compliance - SOC2/cost allocation,S3 Glacier cost for CloudTrail events (Tag Editor free service)
Well-Architected Tool,Review archive > 365 days old,No recent architecture reviews or milestone updates,Architecture review archive (1-3 years),S3 Glacier for Well-Architected review exports,Architecture compliance audit - SOC2/best practices documentation,S3 Glacier cost for review exports (Well-Architected Tool free)
re:Post,N/A - Community forum service,N/A,N/A,N/A,N/A - Community knowledge base with no archival storage concept,N/A
