Service Name,Category Type,Active Criteria,Idle Criteria,Underutilized Criteria,Archived Criteria,Primary Metrics Source,Notes
HealthOmics,Healthcare,Workflows run > 0,No workflow runs for 30+ days,N/A - Genomics workflows,Workflow results,CloudWatch Metrics,Genomics and omics
HealthImaging,Healthcare,Image sets with retrieval > 0,No retrievals for 30+ days,N/A - Medical imaging storage,Image data in S3,CloudWatch Metrics,Medical imaging service
Clean Rooms,Analytics,Collaborations with queries > 0,No queries for 30+ days,N/A - Privacy-preserving analytics,Query results,CloudWatch Metrics,Secure data collaboration
Entity Resolution,Analytics,Matching workflows run > 0,No workflow runs for 30+ days,N/A - Record matching,Match results,CloudWatch Metrics,Entity matching service
Data Exchange,Data Marketplace,Subscriptions with data sets accessed,No data access for 30+ days,N/A - Data marketplace,Subscription history,CloudWatch Metrics,Third-party data marketplace
Data Firehose,Streaming,Records delivered > 0,No records for 7+ days,Low throughput for buffer settings,N/A - Delivery streams can be deleted,CloudWatch Metrics,Stream to S3/Redshift/etc
Data Transfer Terminal,Migration,N/A - New service details pending,N/A,N/A,N/A,TBD,Data transfer service
Supply Chain,Supply Chain,N/A - New service details pending,N/A,N/A,N/A,TBD,Supply chain management
Partner Central,Marketplace,Partner-specific usage,N/A,N/A,N/A,Partner portal,AWS Partner Network
Payment Cryptography,Security,Keys used for payment processing,No usage for 30+ days,N/A - Payment HSM service,N/A - Keys can be deleted,CloudWatch Metrics,Payment key management
Verified Permissions,Security,Authorization requests > 0,No requests for 30+ days,N/A - Fine-grained authorization,Policy versions,CloudWatch Metrics,Authorization service
User Notifications,Management,Notification channels configured,No notifications for 90+ days,N/A - Free service,Notification history,CloudWatch Metrics,Unified notifications
End User Messaging,Messaging,Messages sent > 0,No messages for 30+ days,N/A - SMS/push notifications,N/A - Pay per message,CloudWatch Metrics,Customer messaging
Pinpoint,Marketing,Campaigns sent with engagement > 0,No campaigns for 30+ days,Low engagement rate,Campaign analytics,CloudWatch + Pinpoint API,Customer engagement
Simple Email Service,Email,Emails sent > 0,No emails for 30+ days,N/A - Pay per email,Email logs in CloudWatch,CloudWatch Metrics,Transactional email
Chime,Communications,Meetings hosted > 0,No meetings for 30+ days,N/A - Pay per use,Meeting history,CloudWatch Metrics,Business communications
Chime SDK,Communications,Applications with sessions > 0,No sessions for 30+ days,N/A - Messaging/audio/video SDK,N/A - SDK usage,CloudWatch Metrics,Communication SDK
Connect,Contact Center,Instances with active contacts,Instances with no contacts for 7+ days,Low utilization of agent capacity,Call recordings in S3,CloudWatch + Connect API,Cloud contact center
WorkDocs,Collaboration,Documents with activity > 0,No document access for 90+ days,Active users << licensed users,Document versions,CloudWatch Metrics,Document collaboration
WorkMail,Email,Mailboxes with email activity,Mailboxes with no activity for 90+ days,N/A - Email service,Archived emails,CloudWatch Metrics,Business email
WorkSpaces Applications,End User Computing,Applications streamed > 0,No streaming sessions for 30+ days,N/A - Application streaming,Usage logs,CloudWatch Metrics,Application streaming
WorkSpaces Secure Browser,End User Computing,Browser sessions > 0,No sessions for 30+ days,N/A - Secure browsing,Session logs,CloudWatch Metrics,Managed secure browser
WorkSpaces Thin Client,End User Computing,Devices registered and connected,Devices not connected for 30+ days,N/A - Device management,Device history,CloudWatch Metrics,Thin client device
Red Hat OpenShift Service on AWS,Container,Clusters with nodes and pods,Clusters with no pods for 7+ days,Node utilization < 30%,N/A - Delete clusters,CloudWatch + OpenShift,Managed OpenShift
Elastic VMware Service,Compute,Hosts provisioned with VMs running,Hosts with no VMs for 7+ days,Low VM density on hosts,N/A - Cluster snapshots,CloudWatch + VMware tools,VMware on AWS
Oracle Database@AWS,Database,Databases with connections > 0,No connections for 7+ days,Low connection count and IOPS,Backups for recovery,CloudWatch + Oracle metrics,Managed Oracle database
Outposts,Hybrid,Outpost with active instances/resources,Outpost with no resources for 7+ days,Low resource utilization on Outpost,N/A - Outpost hardware,CloudWatch + Outposts API,On-premises AWS infrastructure
One Enterprise,Identity,N/A - New service details pending,N/A,N/A,N/A,TBD,Enterprise identity service
Wickr,Security,Wickr network active with messages,No activity for 30+ days,N/A - Encrypted messaging,Message history (encrypted),CloudWatch Metrics,End-to-end encrypted communication
SimSpace Weaver,Simulation,Simulations running,No simulations for 30+ days,N/A - Large-scale simulation,Simulation results,CloudWatch Metrics,Spatial simulation service
Parallel Computing Service,HPC,Jobs submitted and running,No jobs for 30+ days,N/A - HPC workloads,Job history,CloudWatch Metrics,HPC job scheduling
Telco Network Builder,Telecom,Networks deployed,No deployments for 90+ days,N/A - Telecom infrastructure,Network configurations,CloudWatch Metrics,Telecom network automation
Braket,Quantum,Quantum tasks submitted > 0,No tasks for 90+ days,N/A - Pay per task,Task results,CloudWatch Metrics,Quantum computing service
Signer,Security,Signing jobs executed > 0,No signing jobs for 90+ days,N/A - Code signing,Signing profiles,CloudWatch Metrics,Code signing service
Artifact,Compliance,Compliance reports downloaded,No downloads for 180+ days,N/A - Free compliance docs,Download history,Artifact API,Compliance documentation
Audit Manager,Compliance,Assessments active with evidence collection,No assessments for 90+ days,N/A - Compliance automation,Assessment history,CloudWatch + Audit Manager API,Continuous auditing
Billing Conductor,FinOps,Billing groups configured with accounts,No billing groups for 90+ days,N/A - Showback/chargeback,Billing history,Billing Conductor API,Custom billing
B2B Data Interchange,Integration,Trading partners with transactions > 0,No transactions for 30+ days,N/A - EDI transformation,Transaction history,CloudWatch Metrics,EDI data exchange
Auto Scaling,Management,Auto Scaling groups with instances,Groups with no scaling activity for 90+ days,N/A - Free service,Scaling history,CloudWatch + Auto Scaling API,Automatic scaling
Batch,Compute,Job queues with jobs submitted > 0,No jobs for 30+ days,Low compute environment utilization,Job logs in CloudWatch,CloudWatch + Batch API,Batch job processing
SWF,Orchestration,Workflows with executions > 0,No executions for 90+ days,N/A - Workflow orchestration (legacy),Execution history,CloudWatch Metrics,Simple Workflow (legacy - use Step Functions)
CloudShell,Development,Sessions started > 0,No sessions for 90+ days,N/A - Free browser-based shell,Session history,CloudWatch Metrics,Browser-based CLI
CloudSearch,Search,Search instances running with queries > 0,Instances with no queries for 30+ days,Low query volume for instance size,N/A - Delete domains,CloudWatch Metrics,Managed search (consider OpenSearch)
CloudHSM,Security,HSM clusters with client connections,Clusters with no connections for 30+ days,N/A - Hardware security module,N/A - Keys in HSM,CloudWatch Metrics,Hardware security module
Cloud Map,Networking,Namespaces with service discovery,Namespaces with no lookups for 90+ days,N/A - Service discovery,Service registry,CloudWatch Metrics,Service discovery
Directory Service,Identity,Directories with domain controllers,Directories with no authentications for 7+ days,N/A - Managed Active Directory,Directory snapshots,CloudWatch Metrics,Managed Microsoft AD
Elastic Transcoder,Media,Jobs completed > 0,No jobs for 90+ days,N/A - Pay per minute (legacy),Job history,CloudWatch Metrics,Video transcoding (legacy - use MediaConvert)
Elastic Disaster Recovery,DR,Replication servers for source servers,Servers with no replication for 7+ days,N/A - Disaster recovery,Recovery points,CloudWatch + DRS API,Application-level DR
Identity Center,Identity,Users/groups with SSO activity,Users with no SSO for 90+ days,N/A - Free SSO service,Login history,CloudWatch + Identity Center API,AWS SSO
Global Accelerator,Networking,Accelerators with endpoints and traffic > 0,Accelerators with no traffic for 7+ days,Low traffic volume for hourly cost,N/A - Delete accelerators,CloudWatch Metrics,Global traffic routing
Global View,Management,N/A - Management service,N/A,N/A - Free service,N/A,Global View (console),Multi-region resource view
Recycle Bin,Storage,Retention rules with recovered resources,Rules with no resources for 180+ days,N/A - Free service,Deleted resource history,Recycle Bin API,Resource recovery
RTB Fabric,Networking,N/A - New service details pending,N/A,N/A,N/A,TBD,Real-time bidding fabric
Deadline Cloud,Rendering,Render farms with active jobs,Farms idle for 7+ days,Low worker utilization,Render outputs,CloudWatch Metrics,Cloud rendering service
CodeCatalyst,Development,Projects with workflows running,Projects with no activity for 30+ days,N/A - Dev environment service,Project history,CloudWatch Metrics,Unified dev environment
Console Home,Management,N/A - Console navigation,N/A,N/A,N/A,N/A,AWS Console homepage
Security Agent,Security,N/A - New service details pending,N/A,N/A,N/A,TBD,Security agent
Security Hub CSPM,Security,Cloud security posture assessments,N/A,N/A - Security posture,Assessment history,CloudWatch Metrics,Cloud security posture management
Security Incident Response,Security,N/A - New service details pending,N/A,N/A,N/A,TBD,Incident response service
Security Lake,Security,Data lake with security data ingestion,No ingestion for 30+ days,N/A - Security data lake,Security logs in S3,CloudWatch Metrics,Security data lake
Private Certificate Authority,Security,Private CAs issuing certificates,CAs with no certificates issued for 90+ days,N/A - Private CA service,Certificate history,CloudWatch Metrics,Private certificate authority
S3 Glacier,Storage,Vaults with archives,N/A - Long-term archive storage,N/A - Archive storage tier,All data is archived by definition,S3 API,Archival storage (part of S3)
MQ,Messaging,Brokers running with connections > 0,Brokers with no connections for 7+ days,Low message throughput,N/A - Delete brokers,CloudWatch Metrics,Managed message brokers
Aurora DSQL,Database,N/A - New database service,N/A,N/A,N/A,TBD,Aurora distributed SQL
